Length,Inhabitants, Distance
2146,15,605
2148,13,696.669983
2178,25,443.329987
1322,22,373.329987
1075,19,340
1697,21,523.330017
773,34,240
358,8,290
1614,23,395
1092,9,486.670013
2891,41,500
1330,17,533.330017
1660,39,380
356,12,165
1058,40,290
365,25,158.330002
1284,52,398.329987
642,11,316.670013
621,29,180
389,5,186.669998
1146,56,320
1011,19,443.329987
1032,46,323.329987
668,6,300
3357,57,580
4765,78,813.330017
2389,26,590
1617,15,553.330017
909,32,270
1671,43,400
1720,39,396.670013
739,11,293.329987
1087,25,360
1723,28,673.330017
2553,57,666.669983
2628,20,900
1588,21,963.330017
764,24,230
2082,24,420
1623,90,341.670013
1113,9,366.670013
1161,39,326.670013
1562,69,443.329987
1663,19,623.330017
1500,25,433.329987
1682,29,373.329987
1441,26,365
2557,79,416.670013
1948,31,718.330017
2312,29,541.669983
1599,28,448.329987
212,1,120
80,2,105
80,1,80
150,1,150
1349,28,456.670013
466,19,138.330002
817,57,211.669998
666,24,280
1030,40,361.670013
1971,142,281.670013
1453,7,1000
1873,23,683.330017
1284,7,340
737,2,380
811,41,135
231,26,86.669998
357,12,176.669998
2253,18,713.330017
987,8,526.669983
1531,75,346.670013
3221,70,591.669983
1370,31,476.670013
1003,23,303.329987
921,20,370
96,3,60
456,4,210
883,39,335
574,10,201.669998
1409,47,636.669983
475,8,291.670013
621,10,405
1168,35,396.670013
592,24,223.330002
1895,19,510
1676,26,393.329987
905,16,266.670013
657,11,213.330002
392,4,126.669998
2470,34,518.330017
1799,27,763.330017
1192,27,533.330017
1730,21,506.670013
734,38,258.329987
2071,35,671.669983
599,20,358.329987
1404,23,493.329987
1805,16,738.330017
2274,18,716.669983
516,18,128.330002
638,16,280
657,19,323.329987
2225,45,603.330017
1141,11,313.329987
1108,16,596.669983
744,10,458.329987
2199,39,520
1036,32,316.670013
1391,33,710
913,11,258.329987
1855,92,793.330017
2145,40,673.330017
1834,44,456.670013
1736,15,610
432,10,258.329987
733,34,280
123,3,95
386,18,226.669998
1764,31,546.669983
1083,30,386.670013
2082,28,513.330017
643,68,240
1953,67,501.670013
1229,27,288.329987
903,8,456.670013
864,13,733.330017
1635,44,366.670013
1325,15,486.670013
1000,16,373.329987
1176,8,500
915,24,350
2737,19,775
1898,12,600
910,15,263.329987
755,29,340
1491,27,480
1706,22,433.329987
1789,25,520
897,11,453.329987
656,5,368.329987
2097,45,563.330017
2629,35,586.669983
5932,77,1006.669983
2797,14,566.669983
1336,15,476.670013
1803,26,376.670013
2010,15,563.330017
3235,42,680
991,17,360
1264,14,298.329987
1979,45,490
623,15,278.329987
5589,130,668.330017
6539,185,943.330017
3085,41,733.330017
1354,31,415
2239,24,783.330017
2976,150,573.330017
176,9,116.669998
1607,45,350
1290,6,480
723,37,188.330002
1601,65,336.670013
1818,15,501.670013
1698,47,480
2809,23,966.669983
1224,34,343.329987
1641,16,608.330017
2435,26,716.669983
3117,24,706.669983
706,13,423.329987
3327,66,846.669983
3433,54,913.330017
1691,21,363.329987
468,27,198.330002
1110,27,353.329987
1370,52,423.329987
1538,16,488.329987
2123,52,563.330017
2437,24,533.330017
2765,64,573.330017
2800,89,1013.330017
774,39,293.329987
2959,26,586.669983
1753,23,576.669983
2974,46,575
1230,36,283.329987
2039,50,476.670013
482,33,165
1150,18,460
952,17,376.670013
2891,59,783.330017
1565,57,503.329987
1349,11,633.330017
1064,28,193.330002
1167,44,390
353,3,210
1010,35,246.669998
1412,92,248.330002
1140,76,230
1500,48,550
498,17,176.669998
1295,42,350
1207,32,305
2087,36,776.669983
1100,18,376.670013
827,12,420
673,39,181.669998
605,50,188.330002
517,13,233.330002
1670,23,850
895,37,220
1181,43,363.329987
413,59,165
271,21,113.330002
1104,32,383.329987
692,58,301.670013
1328,26,496.670013
445,43,193.330002
481,11,180
2254,44,766.669983
840,3,316.670013
643,4,336.670013
592,47,158.330002
567,7,356.670013
1296,12,405
742,26,245
1044,26,481.670013
1575,20,616.669983
1388,50,400
1296,26,405
1671,13,673.330017
2465,14,976.669983
1551,9,520
1660,16,583.330017
1261,10,380
844,12,446.670013
1368,16,660
1196,31,373.329987
1141,14,415
1724,28,533.330017
1679,16,406.670013
1773,10,648.330017
1895,25,551.669983
1421,46,460
1364,6,556.669983
1776,41,633.330017
353,9,191.669998
500,13,298.329987
554,39,238.330002
1015,47,426.670013
2857,16,753.330017
835,25,253.330002
660,28,261.670013
