Dataset;Fold;Strategy;Parameter Combination;Model;Model Parameter Combination;MSE;RMSE;MAE;R2;WMSE;WRMSE;WMAE;WR2;SERA;DWRMSE;DWSERA
abalone;0;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'sqrt'};4.370767050223727;2.090637952928179;1.5196912447618585;0.5216239934820146;6.5842331150924025;2.5659760550504758;1.7924760053928068;0.6990492521228928;1779.1173637162283;2.6346781494348246;2575.374242729036
abalone;1;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'sqrt'};5.229545084667317;2.286819862749866;1.5866917861344203;0.5049355117945951;9.90732636785709;3.147590565473389;2.219603776929218;0.5951461525817489;2935.1815460302505;3.107788834894233;3494.6457507060877
abalone;2;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'sqrt'};4.4821209973708;2.117102028096615;1.5032811688934193;0.5654567013093037;7.7756680084783385;2.7884884809656896;1.9703569359626112;0.6609658701228177;2362.466620156907;2.784489369822481;2973.077123104659
abalone;3;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'sqrt'};5.125446233551663;2.2639448388933117;1.571894999340184;0.5425070257454436;8.680645642186764;2.9462935431125605;1.9856201619851706;0.64071553459466;2732.685464935227;3.27382559714925;3382.20082170806
abalone;4;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'sqrt'};4.642740218857412;2.154701886307573;1.5431436978679862;0.5671252813130288;6.744227289152231;2.5969650150035197;1.7800805319092248;0.6712530531007141;2115.8134798866536;2.8913155070347925;3125.695990119826
abalone;5;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'sqrt'};5.144787639818265;2.268212432691935;1.6249419848149662;0.5193458894546369;7.564819151144878;2.750421631522134;1.911763500725637;0.6405413830300639;2568.0448089552333;2.991251378381681;3302.1548208493823
abalone;6;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'sqrt'};4.224015884607816;2.0552410770047915;1.4844616487490743;0.5900666392064599;7.32076170498896;2.705690615164446;1.9691097354490377;0.673479116513019;2222.505556707827;2.717460065797902;2771.504789339694
abalone;7;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'sqrt'};5.24382140159573;2.289939169846162;1.5833763392119802;0.524475747426119;8.60626896580982;2.9336443148087703;1.9395374541220065;0.6207433032686687;2526.1068988851334;3.1705725975777725;3557.3624227993314
abalone;8;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'sqrt'};4.27332429908217;2.067202046023119;1.4650283169014795;0.5629896292101189;7.145222790117892;2.673054954563765;1.8747200790969536;0.6761850214596367;2134.2789212285165;2.736124841808095;2684.795995087825
abalone;9;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'sqrt'};4.657339999065025;2.1580871157265697;1.5322399843405012;0.5408134545879131;7.002222396846414;2.6461712712608785;1.8050672811898343;0.650062047762121;2037.0953317234964;2.919458037472175;3098.311148025113
abalone;0;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'log2'};4.414346006934296;2.1010345087442746;1.5167652215165865;0.5168543210103704;6.6356452362526355;2.5759746187128156;1.792313600772705;0.6966993176593553;1792.9657900314394;2.6358913939323503;2580.4443410277813
abalone;1;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'log2'};5.068134779175182;2.2512518249132376;1.5656184462237903;0.5202157147540891;9.528468949408467;3.086821820158797;2.174809607083545;0.6106278151198375;2822.9203618596707;3.0487970242858853;3371.5322680520826
abalone;2;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'log2'};4.426800669013757;2.1039963567016358;1.4973392999901907;0.5708200277306616;7.688034308208935;2.772730478825689;1.9723654255003842;0.6647868685613261;2335.8651246906825;2.7655794680747134;2928.155723604093
abalone;3;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'log2'};5.086852550677376;2.2554051854771853;1.5581560527568106;0.5459518650747521;8.646154222839517;2.9404343595529414;1.9707198237786703;0.6421431048091407;2721.6544595974274;3.2722259491911787;3379.0839504666797
abalone;4;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'log2'};4.574399987125891;2.1387846986374974;1.530878404679162;0.5734971128588966;6.711437137149491;2.590644154867567;1.7909944827720405;0.6728514070554514;2105.422265075603;2.8751753045435007;3093.764452974733
abalone;5;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'log2'};5.179804064812122;2.2759182904515973;1.636458498766394;0.5160744641231736;7.621405809325408;2.7606893721180237;1.9292142362239386;0.637852546524905;2587.422430199586;3.0046064476134138;3332.19832371963
abalone;6;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'log2'};4.305326950322024;2.0749281795575536;1.4881552754306435;0.5821755423572764;7.490929056893063;2.7369561664179174;1.9792069569013608;0.6658893060092155;2274.2511872153195;2.7498044896167153;2833.218176492542
abalone;7;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'log2'};5.175146840744066;2.2748949076262988;1.5773916785265987;0.530703346865316;8.302573059936204;2.881418584644759;1.9046445840081865;0.6341264204510422;2437.1813349442978;3.1314690499337536;3480.781355395443
abalone;8;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'log2'};4.3151425656951945;2.0772921233411528;1.4615785459350985;0.558713095317694;7.300705482478134;2.7019817694570283;1.8779175039052365;0.6691386876826603;2180.744994089498;2.7657557463647153;2711.181383195213
abalone;9;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'log2'};4.638559840677509;2.1537316083201983;1.5143136555482226;0.542665068610936;7.087801143349186;2.662292460145802;1.8069719127987554;0.6457852268317044;2061.874874353821;2.93450163815751;3113.498117870981
abalone;0;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 200, 'max_features': 'sqrt'};4.406977141336946;2.0992801483691848;1.5239531023228003;0.5176608358523929;6.636736527462865;2.57618643103772;1.8010997962497202;0.6966494371493355;1793.3488230510861;2.645574068996681;2600.6398501081962
abalone;1;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 200, 'max_features': 'sqrt'};5.051252893788018;2.247499253345375;1.5623556168731072;0.5218138694336698;9.554247315371954;3.0909945511715082;2.1723286028357056;0.6095744057283459;2830.621940139501;3.052724029656863;3375.9193079908546
abalone;2;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 200, 'max_features': 'sqrt'};4.36220063292385;2.0885881913205986;1.4865569111688333;0.5770830252701107;7.56027417248299;2.7495952743054732;1.9472505206549846;0.6703574570177271;2297.0649554310676;2.7455831874847534;2893.470817734962
abalone;3;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 200, 'max_features': 'sqrt'};5.037719897909561;2.2444865555198947;1.5476614949116834;0.5503374038987908;8.522144474315912;2.919271223150722;1.9635850147862544;0.6472757617611562;2682.7298014670087;3.250121088198619;3336.2317447178852
abalone;4;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 200, 'max_features': 'sqrt'};4.593113488456038;2.1431550313628827;1.5266585399300572;0.5717523239536217;6.7588093873521;2.5997710259467275;1.7886130086301355;0.6705422496154425;2120.3259389934524;2.8874960778945593;3094.73042335113
abalone;5;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 200, 'max_features': 'sqrt'};5.143484992515779;2.2679252616688625;1.6338785887732816;0.5194675898676306;7.538016949194805;2.7455449275498673;1.922423574500974;0.6418149471764406;2559.1510873784923;2.9858917194696626;3300.6790982095263
abalone;6;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 200, 'max_features': 'sqrt'};4.245591070327407;2.060483212823489;1.4877664638692492;0.5879728051316389;7.334568455486652;2.7082408414848653;1.9675786548129675;0.6728633073182573;2226.7505429718885;2.719928114773103;2777.274666995887
abalone;7;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 200, 'max_features': 'sqrt'};5.189130648083745;2.277966340419398;1.570445521843558;0.5294352564739624;8.439362167260052;2.905058031651012;1.9134833010647312;0.6280984674323105;2477.2483252803745;3.149924219086303;3512.2695018687436
abalone;8;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 200, 'max_features': 'sqrt'};4.303594249453484;2.074510604806224;1.460909770981374;0.5598940808010265;7.262853288716692;2.6949681424307586;1.8772679657439064;0.6708541145728503;2169.4685027591554;2.7574514663350165;2699.885833676177
abalone;9;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 200, 'max_features': 'sqrt'};4.580325882979775;2.140169592107078;1.5148564916561431;0.5484065970083183;6.876863141824155;2.6223773835632724;1.7870527128815075;0.6563269103315121;2000.5953076025723;2.8987066902442686;3057.904508260596
abalone;0;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 200, 'max_features': 'log2'};4.347368593012703;2.08503443449088;1.5128596785005164;0.5241849308165081;6.587810414772928;2.5666730245149902;1.7926433826364685;0.6988857416585128;1780.0347296995244;2.6407218579341936;2583.188644183698
abalone;1;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 200, 'max_features': 'log2'};5.059624786429685;2.2493609729053463;1.5620076762459094;0.5210213288438372;9.529143361683904;3.086931058783773;2.177282736188634;0.6106002558778869;2823.164651526588;3.048483183781082;3373.18554079084
abalone;2;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 200, 'max_features': 'log2'};4.293851485115694;2.0721610664028254;1.4785212194170607;0.5837095005858544;7.474892056869013;2.7340248822695474;1.9413462014988259;0.6740802820203757;2271.048415271578;2.730204692757416;2852.68442112902
abalone;3;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 200, 'max_features': 'log2'};5.082219029068825;2.254377747643199;1.5608535825737742;0.5463654492751076;8.582388315251356;2.929571353500603;1.9649311867970616;0.6447823209415857;2701.689393985955;3.2595583738824163;3351.7933761524782
abalone;4;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 200, 'max_features': 'log2'};4.57594137832836;2.139145011056604;1.5173910203874617;0.5733533983171168;6.74092368214951;2.596328885590096;1.7838864216874077;0.6714140872220946;2114.5453619984823;2.8759803224038003;3093.8884271506345
abalone;5;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 200, 'max_features': 'log2'};5.125397222775975;2.26393401466915;1.6270999419082572;0.5211574479307209;7.514330090463345;2.741227843588224;1.9199324155545843;0.6429404791038872;2551.227257160849;2.979886561423816;3287.4733906257334
abalone;6;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 200, 'max_features': 'log2'};4.146107305137038;2.0361992302171803;1.4694039678932624;0.5976275307110315;7.185849833996572;2.680643548477972;1.9523222819699702;0.6794964607573064;2181.519087425019;2.6902871676394873;2721.0415942861728
abalone;7;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 200, 'max_features': 'log2'};5.113207322517419;2.261240217782582;1.5614691887414707;0.5363201939800079;8.305681941981897;2.881958004895612;1.9022172344197692;0.6339894198134999;2438.0894584891757;3.1249451186247046;3451.7423275258607
abalone;8;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 200, 'max_features': 'log2'};4.342621641449934;2.083895784690284;1.4592126262661633;0.5559029549576184;7.3281146246304285;2.7070490621025747;1.8751815023313718;0.6678965303646085;2189.0796603795156;2.7728457806881988;2733.3557260599973
