Dataset;Fold;Strategy;Parameter Combination;Model;Model Parameter Combination;MSE;RMSE;MAE;R2;WMSE;WRMSE;WMAE;WR2;SERA;DWRMSE;DWSERA
cpuSm;0;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'sqrt'};7.19613688700014;2.68256162781028;1.9379217946318539;0.9772245904096662;12.93166095810283;3.5960618679470504;2.3669238486572817;0.9874950065999937;2450.7829235990234;3.274218822496194;8623.199424215692
cpuSm;1;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'sqrt'};9.255175962455322;3.042232069132025;2.077924408303854;0.9702772945842186;25.714801154998707;5.070976351256108;2.9495137295227654;0.9753829234179354;4875.663836738957;4.041156721895645;12100.8408285926
cpuSm;2;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'sqrt'};7.665353750010926;2.768637525934178;1.9702373097548125;0.977108646189035;14.56930732440946;3.816976201708554;2.383638295807527;0.9873679447901443;2652.151550916606;3.4524954174618294;9261.217125030873
cpuSm;3;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'sqrt'};8.26782184183784;2.8753820340674454;2.005793649959487;0.9807340611307057;15.311297049732449;3.9129652502587406;2.277389866874766;0.9872754847207048;3195.018266167014;3.5617507789406146;9779.963270295342
cpuSm;4;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'sqrt'};7.771920686433853;2.7878164728751162;1.9496964864699835;0.9741461484570549;19.319396581526114;4.39538355340306;2.7981131523348535;0.9811550024867025;3393.7155455003526;3.661796212643231;9835.913426878242
cpuSm;5;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'sqrt'};8.213723841924471;2.8659594976071228;2.030758067217584;0.9741136565192547;17.256291405245044;4.154069258599939;2.6560785614096627;0.9834765631495569;3273.1685459096248;3.6031188498928275;10192.034093845337
cpuSm;6;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'sqrt'};7.895676138268581;2.809924578750928;1.9855594566172092;0.9749814081179801;16.950741697329338;4.117127845638187;2.6528882128118796;0.9843829946714565;3123.4088353666243;3.619451497906536;9990.531844408893
cpuSm;7;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'sqrt'};7.937482814133463;2.817353867396402;2.0032007592726395;0.9784350068344158;6.9922449532244;2.6442853388438246;1.6993114541814218;0.991885351495025;4475.656707968187;3.559052265362446;9605.434288050614
cpuSm;8;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'sqrt'};7.358651010792954;2.7126833598473956;1.9101284131814562;0.9767352822106464;15.383630148963594;3.9221971073575066;2.441700647170612;0.9859184594297353;2778.9658882886847;3.4379214135119187;9066.450708873457
cpuSm;9;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'sqrt'};7.642154380922991;2.7644446785788626;1.9705457145515404;0.9796307016690056;14.626763070997868;3.824495139361255;2.44489635928275;0.9869621501684175;3073.802587519815;3.4271887057411328;9129.642373497645
cpuSm;0;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'log2'};7.2002804930373;2.6833338392822648;1.9359949392747187;0.9772114761059559;12.650963275167623;3.5568192637759406;2.372036233842986;0.9877664429362752;2397.152692720206;3.2729857755017306;8670.810340086458
cpuSm;1;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'log2'};8.881294221375452;2.9801500333666846;2.054064876778112;0.9714780039921798;22.699062544958316;4.764353318652838;2.886510152845899;0.9782699248715874;4305.485505111879;3.9028177812192455;11548.078908985943
cpuSm;2;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'log2'};7.654883383053364;2.7667459917840964;1.9782053072321248;0.9771399142664614;14.48662367424982;3.8061297500544855;2.34869754767639;0.987439634158109;2637.882047386152;3.4462413003102625;9223.606400402674
cpuSm;3;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'log2'};8.228681317079612;2.86856781636405;2.002814437478346;0.9808252676143153;15.344976133935468;3.9172664108961834;2.306043639934994;0.9872474955816958;3201.8153980314028;3.56691661431386;9786.62256086362
cpuSm;4;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'log2'};7.664726938589591;2.7685243250854037;1.9292493172703424;0.9745027361468824;18.90968509413683;4.348526772843514;2.711327522599208;0.9815546532691914;3321.9548653357947;3.620668427061623;9617.135991015624
cpuSm;5;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'log2'};8.195424343050636;2.862765156810917;2.0174343327695334;0.9741713291562328;17.63809836547473;4.199773608835925;2.6892669137353025;0.9831109710852911;3345.376581420233;3.6184166750200464;10210.710908797811
cpuSm;6;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'log2'};7.7489679138289445;2.7836968070946493;1.9786359812585135;0.9754462743471306;16.37463637521499;4.0465585841817475;2.6186553803771795;0.9849137702590923;3017.287493532491;3.5680152215441034;9756.853869220624
cpuSm;7;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'log2'};8.144743018728708;2.8538996160917622;2.0285874441037306;0.9778719108252332;7.176267877754474;2.6788557030483133;1.7123700992464392;0.9916717889897911;4594.00252688531;3.6127108014559117;9917.782672677626
cpuSm;8;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'log2'};7.317215909817452;2.70503528809098;1.8981962759681423;0.9768662812115985;15.226455074891433;3.9021090547153388;2.4049368379039873;0.9860623310101587;2750.9751912627703;3.4234909442133343;8961.774264727623
cpuSm;9;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'log2'};7.609199708967764;2.758477788376728;1.9809162277959482;0.9797185386206029;13.929526637119709;3.73222810625499;2.4244064763899598;0.9875836454287076;2927.5896038056276;3.4043772281322386;9113.731660473832
cpuSm;0;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 200, 'max_features': 'sqrt'};7.138929654203293;2.6718775522473504;1.9276522021111495;0.9774056484104988;12.984426902599218;3.6033910282675703;2.390415147219893;0.9874439816164429;2459.6617606165;3.27943136336987;8636.19187982949
cpuSm;1;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 200, 'max_features': 'sqrt'};8.777722954207848;2.962722220223801;2.055027386944219;0.9718106198469242;22.785655554430107;4.773432261426793;2.8798046682820075;0.9781870283820213;4321.411265959671;3.8879172021238055;11393.197473806453
cpuSm;2;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 200, 'max_features': 'sqrt'};7.6229706017750445;2.7609727636785997;1.9864727298132239;0.9772352166870879;14.221843294888822;3.7711859268522976;2.3908238261055335;0.9876692072116591;2589.3506806000405;3.4322912193524813;9203.531424271512
cpuSm;3;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 200, 'max_features': 'sqrt'};8.225306559268143;2.86797952560128;1.9970536318470842;0.9808331315812631;15.311650716587826;3.913010441666087;2.2884521077522413;0.9872751908044356;3194.574690470271;3.5705918268500088;9823.39441103779
cpuSm;4;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 200, 'max_features': 'sqrt'};7.656922410088465;2.767114455545427;1.9292524540349407;0.9745286984706595;19.022950213479543;4.361530719080119;2.7352714373199416;0.9814441694410165;3341.3691181110653;3.6270127205779352;9632.683787433314
