Dataset;Fold;Strategy;Parameter Combination;Model;Model Parameter Combination;MSE;RMSE;MAE;R2;WMSE;WRMSE;WMAE;WR2;SERA;DWRMSE;DWSERA
ele-1;0;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'sqrt'};419223.85023846093;647.4749803957377;431.0157706621141;0.6629849577820194;93615.26011048358;305.9661094148886;210.02512655377;-0.5012306958149613;2494397.1150717614;902.8435238502009;34473991.19538392
ele-1;1;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'sqrt'};338899.334416918;582.1506114545599;395.0038594602177;0.7078081344089026;1253935.9336873097;1119.7928083745269;831.9410445942577;0.3217841237290263;16597350.009845236;852.8248336592128;25002849.503345627
ele-1;2;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'sqrt'};531707.1897895982;729.182549016087;516.4346512054263;0.6713629752947017;735196.1343121701;857.4357901978259;580.7466996062982;0.7751996571657276;29691440.4774868;988.7553274258041;41558938.63662555
ele-1;3;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'sqrt'};484085.6227655239;695.7626195517577;466.2006435209902;0.6528971552068852;130047.26162698636;360.6206616750992;262.35112256308383;-0.9491071258331243;3649331.571048313;953.26431035926;41081456.85567034
ele-1;4;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'sqrt'};341372.8808889287;584.2712391423428;392.35207459627685;0.6912160624598029;1013309.9653603854;1006.6329844389093;842.4832263816074;0.2753779726709986;13742035.082437713;789.1813459386167;26496282.01476608
ele-1;5;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'sqrt'};494765.79167568125;703.3958996722125;477.26276035637386;0.6826699152541739;819813.6807097252;905.4356303513382;544.3189561367147;0.7601049754539406;29727305.026547134;1050.8039876764979;41239938.50246384
ele-1;6;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'sqrt'};590901.9291209735;768.7014564321922;488.67643906517;0.5290436429920742;103888.19313753373;322.3169141350384;240.42758937469787;-0.4235163006279088;2719818.323559901;1106.7196215143074;51461946.26875984
ele-1;7;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'sqrt'};410365.39401319425;640.5976849889439;443.12369406714794;0.6361889784212735;738725.5651818652;859.4914573059265;725.5507470957176;0.43424162009821354;8629450.086120868;739.8591980762674;29405318.9491123
ele-1;8;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'sqrt'};305262.6581189155;552.5057991722038;392.9201925111335;0.7259764033078704;1292478.1537415595;1136.8720920761314;848.1201571407694;-0.3886706092056651;15289381.280825214;801.0946472080199;25219602.87627496
ele-1;9;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'sqrt'};480939.614044254;693.4980995246159;441.0901823961046;0.690839677006645;1574386.1720179066;1254.7454610469433;979.6792060875384;0.20355061631733362;30909728.293427415;1067.4224239439118;38459416.07866345
