Dataset;Fold;Strategy;Parameter Combination;Model;Model Parameter Combination;MSE;RMSE;MAE;R2;WMSE;WRMSE;WMAE;WR2;SERA;DWRMSE;DWSERA
forestFires;0;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'sqrt'};16579.500169564013;128.76140792009076;29.92762178639491;0.0029127726471679383;160822.3775696081;401.02665443784167;202.94259818585948;-0.3217482380131811;1705964.6704865037;567.0569870450361;1709354.8998300033
forestFires;1;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'sqrt'};867.1423631549085;29.44728108255342;19.23671369581825;-2.878119800830103;;;;;450.9140288405524;;30722.49602717628
forestFires;2;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'sqrt'};975.127675761071;31.227034373457098;17.427441796450715;-5.297016933435105;;;;;502.19075301695165;;50638.397307752566
forestFires;3;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'sqrt'};2064.984415268016;45.44209959132628;22.160447367737756;-0.14821782262436067;12888.50606518777;113.52755641335618;81.94838419982462;-1.0306966400767057;139783.78102340936;98.1715533239339;152433.7501034327
forestFires;4;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'sqrt'};1549.9995855187585;39.370034106141674;18.82298896904926;-0.46503716260738437;14526.81639442566;120.52724337022589;96.41604353582157;-2.1367316335341218;102222.48993568867;88.43916476883494;113734.85346151299
forestFires;5;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'sqrt'};7060.197165092435;84.02497941143714;25.991230148883695;-0.0581193850330759;77946.69287776767;279.18934950632996;174.32635594391675;-0.6269677313099156;693646.1903339874;291.03445286154084;701395.7692878847
forestFires;6;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'sqrt'};1613.0743836351783;40.163097286379426;21.189306427258238;-1.8341178093369175;6648.1503716888865;81.53619056399978;59.053616476450124;-1.2402888378933214;46247.711548973835;59.7284173645541;61586.56185623097
forestFires;7;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'sqrt'};1772.6552299981388;42.102912369551575;23.51706737118014;-1.3692847794176006;;;;;912.9174434490413;;65342.252506169665
forestFires;8;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'sqrt'};603.3862260658537;24.563921227398808;15.887780899876313;-0.7910550268118672;2305.8999280360276;48.01978683871918;38.77676224359802;-1.3915952548271968;22573.100242918747;36.97046503418523;35823.13840726758
forestFires;9;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'sqrt'};11811.071641696935;108.6787543252909;24.473158897449725;-0.0024260637846986732;141364.0074333865;375.98405209980183;165.4531861466995;-0.23241729158354874;1184506.6941762452;513.2803089970802;1188245.8897439588
forestFires;0;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'log2'};16655.71003140498;129.05700303123803;29.669030947345746;-0.0016704704580401408;161710.16957500632;402.1320300287038;202.89838322305621;-0.3290447196135069;1715375.7881716748;568.6574679611757;1718380.3283395292
forestFires;1;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'log2'};954.043332237755;30.887591881494338;19.5167816167143;-3.2667669056553876;;;;;496.10253276363255;;29774.25057590923
