Dataset;Fold;Strategy;Parameter Combination;Model;Model Parameter Combination;MSE;RMSE;MAE;R2;WMSE;WRMSE;WMAE;WR2;SERA;DWRMSE;DWSERA
fuelConsumption;0;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'sqrt'};0.4113714891225242;0.641382482706321;0.3057982741505036;0.8862965144979844;2.3875104308681814;1.5451570893822353;0.6924348821306356;0.16459562988890597;113.20398780642263;1.034324623893528;131.86681040240364
fuelConsumption;1;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'sqrt'};0.18390115062407764;0.4288369744134449;0.28048925388460816;0.9278593958727911;0.16091079394419971;0.4011368768191223;0.29657270968969834;0.9739194455978014;17.437733400204998;0.42674861533059716;37.73401501951646
fuelConsumption;2;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'sqrt'};0.18210238897854755;0.4267345650150074;0.3049917716883008;0.9434259281391106;0.2626588581968987;0.5125025445760233;0.3645448068240866;0.9666779906618924;28.420777841257543;0.5410079902772479;46.448602797595875
fuelConsumption;3;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'sqrt'};0.1405018461238896;0.37483575886498555;0.28313334145796604;0.9557724891153986;0.17882284377810526;0.4228745012153195;0.32586251744904393;0.9749061782344753;21.50537120346499;0.4223494228484901;34.344595384667485
fuelConsumption;4;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'sqrt'};0.28488159656259177;0.5337430061018053;0.33516489744754474;0.9191453753109844;0.5912162706646154;0.7689058919429708;0.43665144810281875;0.9329106900034663;63.77019674124488;0.7810784633581938;83.07469987146003
fuelConsumption;5;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'sqrt'};0.17487999475075525;0.4181865549617243;0.30255988865653083;0.9336290152420885;0.26077628109010476;0.5106625902590719;0.36537933886379836;0.9567711781298975;27.837839701767138;0.5292875782228055;48.96964958575309
fuelConsumption;6;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'sqrt'};0.14381524140957064;0.37922980026571046;0.28109523991339747;0.9529681779827088;0.20441162381952346;0.4521190372230785;0.3269928892333026;0.9728026888042556;19.308367242031938;0.4621176466656523;35.44076686174148
fuelConsumption;7;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'sqrt'};0.15666669425568755;0.3958114377524828;0.28865692907505897;0.9428046844988822;0.24927484554542692;0.4992743189324151;0.34709367860825674;0.9587571234327077;26.803517675313827;0.4863513716350814;42.841738862489365
fuelConsumption;8;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'sqrt'};0.6761524014805305;0.8222848663817974;0.36073224811016874;0.8464817228527193;1.8675481861241028;1.3665826671387657;0.5762399601995758;0.8315683136569646;209.78669839848;1.3621204649800425;224.49899303480797
fuelConsumption;9;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'sqrt'};0.21039929960618634;0.4586930341810156;0.2728935597526689;0.9351301852993747;0.7676631570316136;0.8761638870848385;0.4877745262136587;0.6707271250437731;42.59326560107673;0.6407666687580452;62.46134189620192
fuelConsumption;0;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'log2'};0.4014780484817591;0.6336229545098245;0.3014606825692026;0.8890310712531494;2.337994752128941;1.5290502778289996;0.6698979791559495;0.18192146598702774;110.86139079604916;1.0244557300736687;129.16977981647605
fuelConsumption;1;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'log2'};0.16598243203870938;0.40740941574626055;0.2838951556818387;0.9348885372324138;0.1946092325320816;0.44114536440053587;0.3218891606717327;0.9684575748350162;21.12136777598404;0.4620756929520094;41.28694710205866
fuelConsumption;2;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'log2'};0.20059277577792858;0.4478758486209416;0.3110923438793357;0.9376814869080456;0.322686524588806;0.5680550365843137;0.3869334451912592;0.9590626280056043;34.9232846664854;0.592538436671482;52.32694094832933
fuelConsumption;3;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'log2'};0.154844053859395;0.3935022920637121;0.29614368372469246;0.9512578142820732;0.21761291906624533;0.4664899988919862;0.35121983180581834;0.9694628511125797;26.169072581362286;0.4644337474329111;38.69425425880345
fuelConsumption;4;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'log2'};0.31911187729440693;0.5648998825406206;0.34092709223100337;0.9094301935127721;0.677380575196332;0.8230313330586704;0.4481663525714738;0.9231330434396028;73.06228043134853;0.8373290110801307;95.19708666544352
fuelConsumption;5;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'log2'};0.179142398495211;0.4232521689196772;0.3051775396788766;0.9320113348758549;0.26762915897412864;0.5173288692641544;0.3672220480873558;0.955635178198816;28.579270479746494;0.5390605566593973;50.72873300570802
fuelConsumption;6;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'log2'};0.1605670232807129;0.40070815225137724;0.29687186363849494;0.9474898516543311;0.23062370636449878;0.48023297092608996;0.347435138886645;0.9693151270269779;21.77771585482207;0.4895139063175733;39.67527964774882
fuelConsumption;7;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'log2'};0.15521568378596606;0.3939742171588974;0.28218763740203545;0.9433344142031147;0.2614539648657763;0.5113256935318;0.34455701888486867;0.956742070876047;28.104453715467752;0.48995038358355;42.84844359878561
fuelConsumption;8;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'log2'};0.6886370504490977;0.8298415815377642;0.3648579731624586;0.843647122552186;1.910436366558398;1.3821853589726663;0.590941155399078;0.8277002857215116;214.6090807307013;1.3765103860854084;228.98405655717485
fuelConsumption;9;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'log2'};0.2077978320919006;0.455848474925496;0.28212084613170846;0.935932263613881;0.7345627885043813;0.8570663851210018;0.5067183238801656;0.6849248280431155;40.761527207413785;0.6291571363679346;60.61194597214495
