Dataset;Fold;Strategy;Parameter Combination;Model;Model Parameter Combination;MSE;RMSE;MAE;R2;WMSE;WRMSE;WMAE;WR2;SERA;DWRMSE;DWSERA
mortgage;0;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'sqrt'};0.01914303879425472;0.1383583708860968;0.0787452202381437;0.9980587162403196;0.0028483038550831427;0.053369503043246926;0.04104416761159558;0.9955825302149607;0.18751752556108106;0.20716811481991107;3.776861048187276
mortgage;1;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'sqrt'};0.016480100350252058;0.12837484313623154;0.07790967699675834;0.9981451229921788;0.0025513342427526914;0.05051073393599316;0.039175108853982794;0.9967574598659578;0.13622647044942832;0.18668365385186986;3.2246239551295717
mortgage;2;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'sqrt'};0.01622266930425685;0.12736824291893506;0.0768888625456665;0.9982154666338002;0.005200268322615696;0.07211288596787467;0.04886218066556279;0.9938714837314708;0.25820002216003696;0.17771064794748298;2.6025752827557773
mortgage;3;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'sqrt'};0.016875947858117867;0.12990745882403315;0.07716035858423208;0.9983354623444987;0.004704053151525364;0.0685861002793231;0.04560246537335969;0.9930968763991718;0.2904296882458857;0.19569086857207757;3.197048102182742
mortgage;4;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'sqrt'};0.03435331683319663;0.18534647780089222;0.09325167319628025;0.996577829899372;0.00617844416005916;0.07860307983825544;0.04841648284385606;0.9926595936428334;0.3803443831065093;0.26608985937513435;6.772343318676947
mortgage;5;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'sqrt'};0.01057158091284752;0.10281819349146104;0.06409991447063419;0.9988883982301195;0.0027510337686051157;0.05245029807927802;0.03603426920720135;0.9961661882673358;0.1818182307878276;0.15019913889059622;1.9848826843788112
mortgage;6;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'sqrt'};0.01787027922735174;0.13367976371669626;0.07753082145392763;0.9976564991934743;0.0069462373721272145;0.0833440902051682;0.05708922133837386;0.9919673447765363;0.32162849196471044;0.18187510553641892;2.8374157415996937
mortgage;7;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'sqrt'};0.0207289020936843;0.14397535238256687;0.08538408464563726;0.9981041905048647;0.004832456720454639;0.06951587387391918;0.04434507622172592;0.9917345428832425;0.3020859521963194;0.19934893210259302;3.8751441492436762
mortgage;8;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'sqrt'};0.02039940852190122;0.14282649796834346;0.0736829642637423;0.997819992560542;0.0033979105611545266;0.058291599404670026;0.04027374204299852;0.9961292781192573;0.20526863725154232;0.22003268099921403;4.043563999663492
mortgage;9;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'sqrt'};0.020214535500225294;0.1421778305511281;0.08188610598700664;0.9980840988186185;;;;;0.021124189597735432;;3.9846430683926894
mortgage;0;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'log2'};0.019921281641894932;0.14114277042022;0.07833459884190559;0.9979797951130394;0.0024771339244963955;0.04977081398265851;0.03829076579165864;0.9961581822650593;0.1664926972122985;0.21177892997898276;3.952461478585456
mortgage;1;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'log2'};0.017362118138646975;0.131765390519085;0.08019214121892199;0.9980458496575866;0.00243297652049296;0.04932521181396954;0.038810247674243036;0.9969078829889535;0.13158381620598392;0.19235675599886165;3.403497752993292
mortgage;2;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'log2'};0.015061507888806825;0.12272533515459155;0.07467899475108764;0.9983431972341441;0.0043121771516359915;0.06566716951137753;0.04516837005998656;0.9949180991850651;0.21563723263336032;0.17222607677702428;2.4489363609826444
mortgage;3;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'log2'};0.018210713387308487;0.13494707624586938;0.0780758788738149;0.9982038094439752;0.004889589975212826;0.06992560314514867;0.0462734219716119;0.9928246040448502;0.30253312870869953;0.2044892681684146;3.4676847028475755
mortgage;4;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'log2'};0.033904110737910116;0.18413068928864118;0.09274094206157395;0.9966225784072315;0.006396872038301593;0.07998044785009392;0.048940184337785325;0.9924000866626784;0.391906365152888;0.26514842819031387;6.647461860882816
mortgage;5;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'log2'};0.009704295420431995;0.09851038229766441;0.06300434126381235;0.9989795933026738;0.0025751279963712255;0.050745718995509614;0.03641123527851697;0.9964113287018626;0.16995808690048209;0.14399736520630366;1.7996723296469463
