Dataset;Fold;Strategy;Parameter Combination;Model;Model Parameter Combination;MSE;RMSE;MAE;R2;WMSE;WRMSE;WMAE;WR2;SERA;DWRMSE;DWSERA
sensory;0;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'sqrt'};0.45367446576652154;0.6735536101651609;0.5381277648282053;0.19707436388868704;;;;;0.26313119014458247;;45.8488460308399
sensory;1;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'sqrt'};0.5628671740436009;0.7502447427630539;0.5943201524310429;0.32640318733810314;0.7192983116746778;0.8481145628243143;0.7085877040672679;-1.4813724803604909;17.868975827380343;1.0224089925476376;54.140332743543865
sensory;2;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'sqrt'};0.5106201532565784;0.7145769050680119;0.5703183099017084;0.11203793204230772;;;;;0.29360658812253254;;49.58866838269128
sensory;3;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'sqrt'};0.480229048653867;0.6929856049398624;0.554137402824846;0.18498181989767215;;;;;0.27613170297597356;;43.62267270013157
sensory;4;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'sqrt'};0.5064944618675388;0.7116842430934794;0.586422456041254;0.347358185979617;0.9242850319080663;0.9613974370197095;0.8423091052387227;0.4491401638148199;37.47724676673954;0.9778506342267279;49.66451155375373
sensory;5;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'sqrt'};0.4648997056377462;0.6818355414891087;0.5333354369431893;0.2736709600230459;1.2569696418773757;1.1211465746624638;1.0235978412178381;-2.6249196255463088;19.65702781020164;0.936687810174781;47.69004311689321
sensory;6;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'sqrt'};0.4675022025146888;0.6837413271952258;0.5555603062318125;0.16573787231726345;;;;;0.26881376644594607;;42.88602868802846
sensory;7;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'sqrt'};0.5503737954415749;0.7418718187406602;0.595913519478092;0.1260498955736532;;;;;0.3164649323789055;;51.892600587209934
sensory;8;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'sqrt'};0.5576992755589812;0.7467926590151923;0.6059145908789142;0.22797164188333807;1.0281946877375223;1.013999352927566;0.8895541489979463;0.38688543837728795;38.960664770969125;1.0057627208930522;54.48829745051891
sensory;9;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'sqrt'};0.5606445149956986;0.7487619882150125;0.5897283337518209;0.3041925947055072;;;;;0.32237059612252666;;55.441646891971835
