Dataset;Fold;Strategy;Parameter Combination;Model;Model Parameter Combination;MSE;RMSE;MAE;R2;WMSE;WRMSE;WMAE;WR2;SERA;DWRMSE;DWSERA
strikes;0;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'sqrt'};295580.7979529471;543.6734295079603;220.90860406996342;0.10542580226804221;3612902.6901898915;1900.763712350878;1105.2408137515451;-0.5329946709683742;30683499.059870988;1137.8052261053922;33691690.01429731
strikes;1;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'sqrt'};183802.99121287867;428.72251073728177;222.5771322657302;-0.0008602829642494481;957973.4943466736;978.7612039443909;666.8221876926725;-0.8045231013744236;11518548.258573338;637.7304821643392;17261453.902133316
strikes;2;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'sqrt'};355589.2369153254;596.3130360098842;234.71049062404734;0.11381750687493808;2896723.1517107924;1701.9762488680012;933.7610855636206;-0.578214852220768;36708875.42536719;1194.0046487942493;40807624.92598618
strikes;3;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'sqrt'};100739.1738802589;317.39435073778316;205.62371899543734;0.47606345699002584;;;;;62961.983675161806;;10108146.755547317
strikes;4;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'sqrt'};419442.1950975188;647.6435710307937;196.10805166613252;0.08469032760006712;4146589.8861382958;2036.3177272071998;901.8792856797396;-0.3604231218619314;48770699.44269178;1504.7193197379631;50440927.357296
strikes;5;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'sqrt'};142897.80336221066;378.0182579746786;228.50926553760237;0.11241983602167438;;;;;89311.12710138163;;15547776.246861959
strikes;6;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'sqrt'};424093.31868411665;651.2244764166321;210.12342305782335;0.06139537432589359;3633949.130138336;1906.2919844919709;795.2828110834469;-0.33256359740328745;48386496.70730373;1478.536518742497;50537107.32798372
strikes;7;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'sqrt'};440962.92096663447;664.0503903821113;254.10543555551192;0.0075474359296534566;3618454.280458077;1902.223509595567;1221.1087238678185;-0.9987976893422716;43538515.74760806;1271.8539352378523;46511888.805651836
strikes;8;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'sqrt'};109780.15084956979;331.330878201187;190.41689624102946;0.352240685901979;;;;;68612.59428098112;;11244536.693163052
strikes;9;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'sqrt'};298209.30965579505;546.0854417174982;215.23096828737016;0.10982904040777619;2651671.487385074;1628.3953719490466;759.70424658587;-0.27266056811771966;32074126.273214832;1171.8610831101448;34417040.74685269
strikes;0;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'log2'};289509.417921071;538.0607938895669;212.85202550369;0.12380081160138179;3617993.7487115003;1902.102454840827;1116.1576097415768;-0.5351548635482646;30724378.668151986;1139.7276018152147;33566680.96441154
strikes;1;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'log2'};185415.3773308196;430.5988589520641;220.0627250194423;-0.009640190274794458;968668.3621934571;984.209511330518;667.4332773413454;-0.8246688947701264;11652855.284218086;641.3829298453255;17416693.0466836
strikes;2;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'log2'};348835.77070702374;590.6232053577169;242.94099631272763;0.13064817243058235;2797601.515115842;1672.6032150859457;933.3710820373028;-0.5242106444116128;35455910.17676344;1171.0725149771329;39332304.8015205
strikes;3;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'log2'};95868.06745389527;309.62568926672617;200.86620987069637;0.501397699503233;;;;;59917.54215868453;;10196841.235240763
strikes;4;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'log2'};416893.62516123586;645.6730017286118;192.21141198630392;0.09025183462232822;4149259.641116963;2036.9731567001472;904.6101793409015;-0.36129902145712056;48800963.65674183;1504.4441219534174;50222720.81236977
strikes;5;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'log2'};146539.1810431328;382.80436392906074;228.16780897542532;0.08980217134737911;;;;;91586.98815195796;;14976419.43001067
strikes;6;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'log2'};417979.95846533065;646.5136954971106;204.0526366863014;0.07492548179744885;3599221.252331355;1897.1613669720757;789.6927631066594;-0.31982893763690523;47921879.00552295;1471.5144786001483;50029827.79514525
strikes;7;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'log2'};437735.4279482287;661.6157706314358;262.1778235011397;0.014811388451136054;3607514.973229335;1899.345933006764;1203.3231514991103;-0.9927549262403854;43407398.14090912;1269.1388566030855;46424928.62067043
strikes;8;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'log2'};98460.76558423507;313.78458468228655;188.87873625185074;0.41903087683122753;;;;;61537.978490146925;;9824299.688679138
strikes;9;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'log2'};307306.3409892847;554.3521813696458;226.1846590659802;0.08267390859475554;2678146.904398441;1636.5044773536188;786.378284510734;-0.28536735303345284;32397120.893586572;1178.6571021488014;34851610.14689747
strikes;0;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 200, 'max_features': 'sqrt'};296139.33104051824;544.1868530574018;215.48705336450962;0.10373540393303182;3698703.838143901;1923.2014554237164;1121.0310031936745;-0.5694010494002142;31409398.083768535;1151.861358218419;34279049.199870415
strikes;1;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 200, 'max_features': 'sqrt'};206457.8827586011;454.37636685747765;227.8852419319363;-0.12422269950248133;951076.8848547506;975.231708290266;673.7689161954925;-0.7915320413683005;11440891.133379206;645.1998108114549;18616912.409358732
strikes;2;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 200, 'max_features': 'sqrt'};359877.86923167005;599.8982157263597;238.62045193045276;0.10312958248452697;2900900.093989634;1703.2028927845427;924.0072459261207;-0.580490565844779;36764009.91939325;1194.2048367409823;40817038.80105777
strikes;3;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 200, 'max_features': 'sqrt'};93298.70095511695;305.4483605376152;200.46764260753196;0.5147607731640877;;;;;58311.68809694809;;9755504.572402986
strikes;4;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 200, 'max_features': 'sqrt'};414566.9307393595;643.8687216656509;193.4375700803229;0.09532916335547414;4117393.162421723;2029.1360630627319;903.5968509038872;-0.35084419095308483;48425970.83207716;1498.8646258568556;49984084.91001763
strikes;5;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 200, 'max_features': 'sqrt'};141684.5734520565;376.4101133764295;228.37480264254208;0.11995556279466424;;;;;88552.85840753533;;15241168.488098629
strikes;6;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 200, 'max_features': 'sqrt'};421042.0054696884;648.8774965043004;208.35910214712084;0.06814855003337539;3616230.3694102997;1901.6388640881053;784.7193384148377;-0.3260661548988071;48149230.72380102;1475.3031758428592;50393437.57951936
strikes;7;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 200, 'max_features': 'sqrt'};418149.1140966468;646.6445036468235;248.03612921981522;0.0588932975605867;3590893.28367488;1894.9652460335203;1198.451245362011;-0.9835732723906085;43203640.64351208;1265.3518099916055;45720906.48800982
strikes;8;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 200, 'max_features': 'sqrt'};93684.8667591926;306.079837230734;182.33222256878005;0.44721113458429085;;;;;58553.04172449538;;9583358.928279659
strikes;9;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 200, 'max_features': 'sqrt'};297126.7480611549;545.093338852306;216.52325900432882;0.11306054546920696;2625027.8140761117;1620.1937581894679;756.8143762453678;-0.2598730291742868;31754841.392582916;1165.2265656396694;33998587.91552021
strikes;0;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 200, 'max_features': 'log2'};293799.39032184193;542.0326469151483;220.30736214161973;0.11081722591080245;3583433.1200256874;1892.9958056017153;1102.7747536133872;-0.5204904055919162;30433136.78697865;1133.9513942701344;33425134.044308264
strikes;1;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 200, 'max_features': 'log2'};215891.22788978636;464.64096665036584;226.2443186314844;-0.1755899836527295;934047.1052954897;966.4611245650234;666.3385045186443;-0.7594532512897105;11242098.017371232;643.2115410336874;18809179.120760884
strikes;2;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 200, 'max_features': 'log2'};364898.5373094369;604.0683217231615;239.5460105027774;0.09061731357305736;2889196.0028758366;1699.7635138088583;940.0115810719285;-0.5741138534493846;36619250.59098134;1191.1881252415117;40674763.67424899
strikes;3;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 200, 'max_features': 'log2'};96349.06187923189;310.40145276598156;205.5909057263584;0.49889608521843176;;;;;60218.16367451992;;9975171.061686963
strikes;4;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 200, 'max_features': 'log2'};417669.450594519;646.2735106706131;196.55097910942177;0.08855882297143125;4132338.2384852082;2032.815347857549;902.4738120941811;-0.35574740723273623;48603023.663937174;1502.039061936976;50260171.235444255
strikes;5;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 200, 'max_features': 'log2'};145189.70280087777;381.0376658558544;229.94653800670167;0.09818417646826838;;;;;90743.56425054859;;15357905.080925953
strikes;6;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 200, 'max_features': 'log2'};415372.78780132526;644.4942108361605;203.2109457838329;0.08069567985845627;3597004.699230526;1896.5771007872384;790.899759766579;-0.3190161309992505;47892201.74379507;1470.6197201042785;49839590.396692805
strikes;7;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 200, 'max_features': 'log2'};435992.30930844386;660.2971371348235;253.78610339010177;0.018734535911564376;3625391.3089623475;1904.0460364608696;1210.4201914591285;-1.002629633998895;43618367.978058055;1273.2523715860607;46646580.45085201
strikes;8;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 200, 'max_features': 'log2'};95063.62511050134;308.32389643117403;182.77616410144788;0.43907575166634905;;;;;59414.76569406332;;9710405.979901686
strikes;9;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 200, 'max_features': 'log2'};299191.27581734845;546.9837984962155;220.6084997209042;0.1068978181688528;2625993.8354587164;1620.4918498587756;753.8639889226276;-0.2603366677989991;31767996.28293753;1164.8171661411593;33995171.255499534
strikes;0;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);SVM;{'kernel': 'rbf', 'C': 1, 'epsilon': 0.01};341508.56868227787;584.3873447314528;233.60047253097406;-0.03357442690228685;4355355.59881556;2086.948873071777;1406.8736604964683;-0.8480256723453576;36978004.512985595;1278.3917752269529;42113630.94973765
strikes;1;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);SVM;{'kernel': 'rbf', 'C': 1, 'epsilon': 0.01};212107.2888319432;460.5510708183656;245.59121107500783;-0.1549853444618141;1690984.5514338794;1300.3786184930448;1073.175173534524;-2.1852871766673827;20298294.87620818;848.3770714606432;26166312.290683888
strikes;2;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);SVM;{'kernel': 'rbf', 'C': 1, 'epsilon': 0.01};431705.5823511554;657.0430597389759;278.99542334783126;-0.07587600958533236;3718909.1267316304;1928.4473357423144;1374.65805543243;-1.0261645005325684;47098326.86630347;1367.6317554196878;53465837.70093267
strikes;3;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);SVM;{'kernel': 'rbf', 'C': 1, 'epsilon': 0.01};219654.4927569137;468.6731193026902;279.36397707825483;-0.14240579070520987;;;;;137284.05797307103;;26979399.4132583
strikes;4;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);SVM;{'kernel': 'rbf', 'C': 1, 'epsilon': 0.01};466774.3362829538;683.2088526087421;240.40515860113175;-0.018598199755544442;4663172.5048380485;2159.438006713332;1269.355545869215;-0.5299047822451861;54846570.50768978;1606.4375535162228;57765308.787795305
strikes;5;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);SVM;{'kernel': 'rbf', 'C': 1, 'epsilon': 0.01};182947.01272755457;427.72305610938787;249.6883368553833;-0.13633754848193247;;;;;114341.8829547216;;22425086.160493057
strikes;6;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);SVM;{'kernel': 'rbf', 'C': 1, 'epsilon': 0.01};463392.84961715585;680.7296450259499;241.00640014411192;-0.02558246733175351;4078830.901176421;2019.6115718564351;1161.6420011835246;-0.4957010635601371;54298137.34907462;1575.012880866499;57324467.235989906
strikes;7;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);SVM;{'kernel': 'rbf', 'C': 1, 'epsilon': 0.01};496092.13907898916;704.3380857791159;309.21600933811146;-0.11652905955178783;4552436.85963183;2133.6440330176515;1650.4498530362864;-1.5147202563954334;54757398.16393644;1458.979931075665;61521715.82981022
strikes;8;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);SVM;{'kernel': 'rbf', 'C': 1, 'epsilon': 0.01};189411.44018273315;435.2142463002942;258.2076017587734;-0.11762484953413921;;;;;118382.1501142082;;23193998.172468524
strikes;9;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);SVM;{'kernel': 'rbf', 'C': 1, 'epsilon': 0.01};339082.4304813202;582.3078485486179;218.36842615509613;-0.012179441583555883;3210940.922120616;1791.9098532349824;1061.777798309921;-0.541080000889653;38826460.17205221;1296.2518084326516;41854388.3971882
