Dataset;Fold;Strategy;Parameter Combination;Model;Model Parameter Combination;MSE;RMSE;MAE;R2;WMSE;WRMSE;WMAE;WR2;SERA;DWRMSE;DWSERA
treasury;0;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'sqrt'};0.0675004916718328;0.25980856735649194;0.11700549042516643;0.9933173543141577;0.12802752674243797;0.3578093441239873;0.1519565504126647;0.9947120578820698;9.107650605835838;0.41453682909997575;12.82213095535915
treasury;1;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'sqrt'};0.019197863831563525;0.13855635615720963;0.08197079025991046;0.9978354078647985;0.01603158354031177;0.1266158897623508;0.06533927032889215;0.9794381309212044;1.0385170020320678;0.17717029887246635;3.2641220279451377
treasury;2;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'sqrt'};0.044129492183600204;0.21007020774874338;0.12229458219081242;0.996375478104846;0.006673197881326566;0.0816896436601762;0.05324406902497888;0.99364528399939;0.4052554942715563;0.29306596693653286;7.750361167341503
treasury;3;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'sqrt'};0.060953094943823616;0.24688680593305026;0.1306306286903937;0.9955494338611773;0.10730612781287367;0.3275761404816805;0.21830781985822637;0.9916703370866709;4.979127880141044;0.29060578752420074;7.3289098130110215
treasury;4;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'sqrt'};0.06340513883707699;0.2518037704981341;0.1290174212130023;0.9945772701578631;0.014250448350290407;0.11937524178107622;0.06259252863542063;0.986285838220298;0.8723134249901232;0.3872364844987571;11.957766669716104
treasury;5;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'sqrt'};0.02679490730244515;0.16369150039768451;0.09127384422369153;0.9978404712970447;0.0040958711155284705;0.06399899308214521;0.044152229202940534;0.995824315087082;0.27866000822738596;0.23254893017322728;4.566309683426885
treasury;6;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'sqrt'};0.08449071847414968;0.2906728719267584;0.12782367830137414;0.9928988430494518;0.006915046110294415;0.08315675625163849;0.05439415578935162;0.9926128197252215;0.5322276936514545;0.4768884842519356;17.205760583038355
treasury;7;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'sqrt'};0.06245756101503772;0.24991510761664193;0.1259089875743984;0.9940362621755459;0.21076499039605495;0.45909148368931324;0.2810272558157557;0.9810309158809081;9.77630764321582;0.4177762825770708;10.603926656760615
treasury;8;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'sqrt'};0.05229985519289828;0.22869161592174359;0.13084887383138863;0.9947926117930517;0.015540906914744643;0.12466317385156149;0.0714432411227899;0.9829429467033451;0.7856972663962756;0.28843977115205166;9.524901187461586
treasury;9;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'sqrt'};0.03754956529740599;0.19377710209776075;0.1056753276538851;0.9968721503256669;0.006946017676776311;0.08334277219277213;0.05571138819823969;0.9930191899649392;0.39930875502093266;0.25515289393031476;6.113317960289521
treasury;0;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'log2'};0.06424681028396179;0.25346954508177466;0.11276724641675792;0.9936394734476816;0.12061135649920794;0.347291457567283;0.1428916509207798;0.9950183691885579;8.5785050240459;0.40194443310404937;12.122073754056306
treasury;1;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'log2'};0.01757712970656641;0.1325787679327516;0.07930882053866567;0.9980181484223418;0.01274234159257681;0.11288198081437449;0.06339111137426814;0.9836568634080947;0.8277496435789197;0.17485588790333081;2.9914555232827955
treasury;2;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'log2'};0.036279902309949215;0.1904728387722229;0.11377739517315669;0.9970201945735208;0.00607988618947356;0.07797362496045415;0.051247995815453584;0.9942102795785137;0.3652653880330932;0.25999870449402523;6.234886465856125
treasury;3;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'log2'};0.05327004167430117;0.2308030365361365;0.12491301958679835;0.9961104215641909;0.0748753750557877;0.27363365117577865;0.18842880647476729;0.9941877817470832;3.4770701185580375;0.24771616654352147;5.853299477501366
treasury;4;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'log2'};0.0663227410315027;0.2575320194296288;0.12774092543337573;0.9943277419843211;0.014170639024892436;0.1190404932150923;0.06225273069352537;0.9863626440844457;0.8708281534647417;0.39950689772462805;12.619355133146414
treasury;5;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'log2'};0.03061593894208469;0.17497410934788235;0.09703070683623156;0.9975325162290325;0.0038156890157952737;0.06177126367329127;0.04111835914596141;0.9961099569282743;0.26537212831957885;0.2564156218854541;5.365691097158719
treasury;6;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'log2'};0.06598222566150926;0.25687005598455664;0.12288278138426349;0.9944544187949801;0.007800248071762188;0.08831901308190773;0.057346014862304194;0.9916671793976444;0.5693991234422551;0.412878446591265;13.17067995932685
treasury;7;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'log2'};0.05369997222632501;0.2317325445989946;0.11836991380101212;0.9948724774017166;0.1770036071321527;0.42071796625786345;0.2594872679078242;0.9840694780154753;8.2109321135877;0.38253395152757547;8.98031624492856
treasury;8;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'log2'};0.05002113834646693;0.22365405953495887;0.12679745114604704;0.995019498907544;0.015285346739596745;0.12363392228509433;0.06921008066070876;0.9832234389263481;0.7716497045347505;0.27637890434532936;9.124986941278914
treasury;9;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 100, 'max_features': 'log2'};0.04100728345303841;0.2025025517198201;0.10865932342987812;0.9965841250843259;0.007058218951110906;0.08401320700408303;0.056350451536834184;0.992906426678367;0.40831865712291265;0.2667319527905822;6.605618942514214
treasury;0;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 200, 'max_features': 'sqrt'};0.0674536143167769;0.25971833650471604;0.11491472132419028;0.9933219952396795;0.12622892137668731;0.3552870971153995;0.14757050373438094;0.9947863459770528;8.979990273156748;0.4115011896358226;12.701803254112603
treasury;1;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 200, 'max_features': 'sqrt'};0.019504174631547123;0.13965734721648956;0.08277591966929429;0.9978008707957585;0.016214527335740418;0.12733627658974647;0.06564259875634396;0.9792034899475961;1.0503984107433322;0.18001571819718146;3.2831002664280895
treasury;2;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 200, 'max_features': 'sqrt'};0.042464366627244;0.2060688395348603;0.11993948850281523;0.9965122411569128;0.006485359147613984;0.08053172758369204;0.05360363724912652;0.9938241580306844;0.39348635137556404;0.2876672848480996;7.50461031378562
treasury;3;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 200, 'max_features': 'sqrt'};0.059428117257914435;0.24377882856785255;0.12988674299789638;0.9956607820061341;0.09562329536082653;0.3092301656708584;0.21075728331140747;0.9925772196495023;4.438498352620723;0.27728911278378454;6.875852494864799
treasury;4;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 200, 'max_features': 'sqrt'};0.06788634226930206;0.26055007631797394;0.12610797520249037;0.994194014856695;0.014068002309780418;0.11860860976244691;0.05986222575867142;0.986461418276035;0.8670763735769067;0.40742861202757685;13.083627459721688
treasury;5;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 200, 'max_features': 'sqrt'};0.026204197569288126;0.16187710637791908;0.0904523561322464;0.9978880793969521;0.0037061449290262116;0.060878115353764126;0.04095615322374432;0.9962216356353231;0.2541275048960937;0.2342895228814626;4.514752760313189
treasury;6;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 200, 'max_features': 'sqrt'};0.06576537084144311;0.25644759862678207;0.11937448470409939;0.9944726447035839;0.007395210667148334;0.08599541073306374;0.05546639582019952;0.9920998712811383;0.5432312338447876;0.4169446049748434;13.21302529068734
treasury;7;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 200, 'max_features': 'sqrt'};0.05466782489957876;0.23381151575484635;0.12168218970600009;0.9947800623361557;0.17872639104811544;0.42276044167839955;0.27459264656736754;0.983914425542294;8.289966268619589;0.38311026870931864;9.13185267662179
treasury;8;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 200, 'max_features': 'sqrt'};0.05282995698501976;0.22984768213975915;0.1275415372929681;0.9947398306560754;0.015908288893780397;0.12612806544849722;0.0691008087406828;0.9825397235175285;0.8038125779612644;0.2908885020376215;9.66510624373036
treasury;9;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 200, 'max_features': 'sqrt'};0.04292690291051952;0.2071880858314964;0.11124814870866612;0.9964242222719399;0.0068692581730274895;0.08288098800706643;0.05732599645889902;0.993096333954343;0.4003877531178466;0.27935011909557494;7.082551757755421
treasury;0;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 200, 'max_features': 'log2'};0.06748131977930111;0.2597716685462468;0.1141832076532531;0.9933192523590718;0.12740181290291971;0.3569339055104176;0.14519562930822622;0.9947379018443016;9.062384112851023;0.4131857078427967;12.799984164617518
treasury;1;GSMOTER;(0.7, 5, 0.75, 'minority', -0.5);RF;{'n_estimators': 200, 'max_features': 'log2'};0.01878670382115958;0.13706459725676642;0.0824596659791473;0.9978817668624785;0.01585518627024513;0.1259173787459266;0.06610021153217355;0.9796643754193756;1.0268578059063338;0.17805991792044198;3.161089927607004
