Dataset;Strategy;Parameter Combination;Model;Model Parameter Combination;MSE_mean;MSE_std;RMSE_mean;RMSE_std;MAE_mean;MAE_std;R2_mean;R2_std;WMSE_mean;WMSE_std;WRMSE_mean;WRMSE_std;WMAE_mean;WMAE_std;WR2_mean;WR2_std;SERA_mean;SERA_std;DWRMSE_mean;DWRMSE_std;DWSERA_mean;DWSERA_std
forestFires;CART;(1, 'denseweight', False, 'balance');RF;{'n_estimators': 100, 'max_features': 'log2'};4975.392155659488;5288.188284459254;63.11929091906038;33.18880784465533;27.292387393247015;2.7399720067102415;-2.899270518446359;4.3000007666562;58283.98212877774;67783.79437610792;198.43010968099088;148.52963559807048;111.50857666461154;65.72963250521416;-0.7939257571904476;0.5663413527948525;382404.52524184494;605116.0557703999;233.14967329623389;224.7573503653737;411361.8256293054;589033.9016167489
forestFires;CART;(1, 'denseweight', False, 'balance');RF;{'n_estimators': 100, 'max_features': 'sqrt'};4952.694927666454;5198.391872947429;63.16020190600957;32.719070600399924;27.88414176723439;3.234871948313444;-3.07588671874819;4.8055587592910936;57078.454545708075;65634.35943812673;197.63194868643345;144.99452393612265;111.43808841335196;63.314286316767685;-0.8474901708601392;0.6066078552705038;374808.27213453164;589546.2349995672;231.02968546315563;220.72423192382368;405861.8402314494;573066.0545004241
forestFires;CART;(1, 'denseweight', False, 'balance');RF;{'n_estimators': 200, 'max_features': 'log2'};4821.050282133469;5376.6648273055625;61.5595886260564;33.85372669989683;27.38518259302753;3.117325277091832;-2.552592477774843;3.9850452030962327;58195.722592203085;67733.62973187174;198.62727657422923;147.87409799688507;111.31336166403706;64.84815784677745;-0.8351181184284583;0.5705927644524608;381400.22591086605;603182.323784969;233.38421816524283;224.28944276741353;413591.1176311071;585358.2205603833
forestFires;CART;(1, 'denseweight', False, 'balance');RF;{'n_estimators': 200, 'max_features': 'sqrt'};4821.826416650745;5314.200491764394;61.76994276379891;33.43817823997914;27.2989268093098;3.3985132864554104;-2.5899165732771428;3.9690204989108975;57514.100824345966;66498.59348217233;197.89894572772724;146.31629934802226;110.95196865374477;64.4337291995102;-0.8269007456603203;0.5769035849779169;377934.35354526964;597801.6368819867;231.52229475618398;222.48266413739762;406105.93484880327;582607.6837268656
forestFires;CART;(1, 'denseweight', False, 'balance');SVM;{'kernel': 'rbf', 'C': 1, 'epsilon': 0.01};4106.4703312096635;5958.817775622699;49.89344644803882;42.38860345719703;14.098066565132026;6.353050052337243;-0.040786120155787975;0.031590935825969536;62366.97037233362;69650.00253451972;210.27627402433896;145.51976537193795;127.6416313880228;62.827178696635066;-1.3144508392707812;0.8867524376998324;408722.52603399224;625834.0560000029;243.20415661523424;225.61606353512272;423421.72210091184;618273.6348461055
forestFires;CART;(1, 'denseweight', False, 'balance');SVM;{'kernel': 'rbf', 'C': 1, 'epsilon': 0.1};4097.762378399068;5953.263712789207;49.81503377029967;42.37694327059064;14.20790414843523;6.286644407397854;-0.03708204202774519;0.02953620673615766;62225.068950930196;69609.1717035837;209.85733489317553;145.65643114148577;127.20296307807212;63.0237119551543;-1.2935721867627035;0.8642277191186877;407838.4576281145;625228.9335913871;242.80882287431535;225.66135762615272;422361.242674715;617763.057673658
forestFires;CART;(1, 'denseweight', False, 'balance');SVM;{'kernel': 'rbf', 'C': 10, 'epsilon': 0.01};4127.490890684253;5933.827941617074;50.560945828419605;41.780931956254754;16.100819401139905;5.970252976150815;-0.1381732102569639;0.19417151856256323;61805.09123678198;69698.14294255916;208.08941000517962;146.92811210665104;125.20305640821398;64.42927329966551;-1.1912016122492532;0.7906544610943156;405252.8185237037;625097.7735516509;241.38011449808567;226.38882710741956;420085.08293049363;617575.1485188096
forestFires;CART;(1, 'denseweight', False, 'balance');SVM;{'kernel': 'rbf', 'C': 10, 'epsilon': 0.1};4123.503272621611;5933.3979775763555;50.474149987298674;41.8444667214368;16.308035116289027;6.153476533899252;-0.12504661017110227;0.16716514465911442;61672.56249152619;69703.6395635618;207.61930148653866;147.17762340812075;124.81362346921856;64.767012240446;-1.1608193708058;0.7533237370976783;404403.81326625386;624678.8540374822;240.9618227112584;226.5732520767761;419112.8262308238;617310.3852233072
forestFires;CART;(1, 'denseweight', False, 'balance');SVM;{'kernel': 'rbf', 'C': 100, 'epsilon': 0.01};4282.333391310763;5772.835478762356;53.87314771238639;39.158046524737564;20.337913697324343;5.117003374143615;-0.6106609100655771;0.7132531195113165;60872.06402559239;68681.34038630084;206.28109333792125;146.1969116741353;122.23628915604444;64.37223126864461;-1.1316966294632482;0.7461810059803113;398917.5211335892;615244.5810081622;239.61218065921997;224.77532643825583;416259.69625720795;606581.6797709012
forestFires;CART;(1, 'denseweight', False, 'balance');SVM;{'kernel': 'rbf', 'C': 100, 'epsilon': 0.1};4302.83380763716;5855.866308647142;53.77795390933471;39.59188302000287;20.048196623677683;5.098192622832588;-0.6001851965384246;0.725395056572323;61670.8356925227;69452.9607053375;208.0370808979328;146.48086373762703;123.43794155294424;65.04187021675801;-1.1964916876563163;0.7756092470806988;404095.8667498787;623141.2924628105;241.25977330995298;225.80239921971395;420933.72198108165;614703.5435638176
forestFires;CART;(1, 'denseweight', False, 'balance');XGB;{'n_estimators': 100, 'max_depth': 3};5032.575647016793;5361.487380151331;63.43493164727897;33.47611244391434;27.377921209059288;3.4953612134414414;-2.4141877332793573;2.71614197333894;58936.499559564916;67487.92219862611;199.90333600095968;148.7873710516489;116.53917835370115;66.28662815443273;-0.8278482825655049;0.731141432623721;385642.43180083425;603936.2875921306;234.95197751399488;223.51210182909279;417193.34702269227;588393.2163705464
forestFires;CART;(1, 'denseweight', False, 'balance');XGB;{'n_estimators': 100, 'max_depth': 6};6244.287538691278;5895.781002672292;71.21037816426288;36.1073950627223;27.68997399812543;6.88011423410546;-4.492040245423585;7.118227324039672;58997.69294220222;65934.19788702762;205.02507104342342;140.6750939226568;119.76932400879332;59.77671323125205;-1.2989724631714274;1.073331288577106;388430.18002208334;595778.062656987;238.2563702422169;217.79569842786654;436722.54909781704;578454.6199135211
forestFires;CART;(1, 'denseweight', False, 'balance');XGB;{'n_estimators': 200, 'max_depth': 3};5903.835837402877;5150.069502757611;70.70595201735772;31.701808338221277;30.07460632552041;4.912028375760637;-4.373942743119877;5.462492147949239;59709.82484212985;68200.72012992883;203.41938403357966;146.2376224338902;118.46388769436794;64.90003760496162;-1.0628085077683584;0.7767355563767524;391342.13273684774;610467.6495741184;237.47740186562382;223.57909417736255;434882.0407840546;587352.0601453434
forestFires;CART;(1, 'denseweight', False, 'balance');XGB;{'n_estimators': 200, 'max_depth': 6};6093.504097673818;5125.622543560393;73.05328097670778;28.996594363476582;27.932698910335965;2.949627806319045;-5.630054095858638;7.854653877046248;60686.64168237108;68779.29686828128;205.90391425415015;146.07734163810537;119.52788946092717;63.90732146646201;-1.1277843942981647;0.7326497146586397;397617.69038643816;614722.3120070903;241.09504728305333;223.1570537946195;453831.9453188974;586851.874376758
forestFires;CART;(1, 'denseweight', False, 'extreme');RF;{'n_estimators': 100, 'max_features': 'log2'};5349.758736680162;5011.827447942972;67.53583617360464;29.602356681937692;30.089848837693392;2.135729231273928;-4.051340019306676;5.627642114286241;57683.639046525386;67237.83322956946;198.6506289948482;145.80293008334684;111.21162784550529;60.83111001923393;-0.9291494454101211;0.7021429513707955;378090.4270790336;598449.2714658777;233.91501743686763;222.00568831921817;413800.7958572916;578655.7204180793
forestFires;CART;(1, 'denseweight', False, 'extreme');RF;{'n_estimators': 100, 'max_features': 'sqrt'};5279.59402772931;4998.711228400339;66.76187708624597;30.229599101437998;29.838279485466256;3.2196073642300806;-3.695033129817427;5.074015987706464;57655.09385001977;66162.1258772269;198.94018743777835;145.22698882880422;112.52525841723562;63.28153513141133;-0.8968241386719493;0.6108642815468841;378465.25222100766;592294.999771505;232.96831491343886;220.78488058380685;414652.9856238044;572216.9681305505
forestFires;CART;(1, 'denseweight', False, 'extreme');RF;{'n_estimators': 200, 'max_features': 'log2'};5236.48270973187;5104.241223956586;65.96305411908357;31.364491618083065;29.93526556004897;3.890577102369195;-4.346793460572622;7.926087005153034;57857.38367747009;66707.89617741344;198.95658057512225;146.0112090807157;112.54559437045559;63.069303666521776;-0.8885524593733393;0.6196162461571016;379658.7618573876;596663.1196834244;233.29169785902792;221.76270252457488;410143.9628123911;579918.5589113687
forestFires;CART;(1, 'denseweight', False, 'extreme');RF;{'n_estimators': 200, 'max_features': 'sqrt'};5039.146575964596;5113.5958550386085;64.39654330382876;31.486007235714204;29.680851167964914;4.101859063543851;-3.7548009584112974;5.942804004958822;56475.910299185525;64836.525415651464;197.32013326712595;143.05286152701518;110.12369154205496;62.09261917162308;-0.921014934542394;0.7141600964892323;370778.764954364;582922.4291335957;230.66854568012045;218.44211722138817;402193.10128428193;566328.8859976209
forestFires;CART;(1, 'denseweight', False, 'extreme');SVM;{'kernel': 'rbf', 'C': 1, 'epsilon': 0.01};4060.7690281836635;5902.254349008626;49.75368601736649;41.970091942146055;16.22783191074487;6.211690588479872;-0.062492960195777825;0.10643811975815466;61114.22727565304;69256.81638233007;206.80295577221045;146.30296950547032;123.38686346078859;63.40062307308599;-1.1599953864101793;0.7561865204683306;400771.2641828824;620261.5858927637;239.90957857082392;225.92507043934455;414436.7856046626;613214.5582283725
forestFires;CART;(1, 'denseweight', False, 'extreme');SVM;{'kernel': 'rbf', 'C': 1, 'epsilon': 0.1};4054.3998881171983;5888.7066815551425;49.81283817367593;41.80750917665354;16.440807372508356;6.060312668427202;-0.08190462090935777;0.15217783564107643;60966.01469418355;69076.74339237434;206.69629001762476;145.88729023343927;123.36543013855943;63.14454793821232;-1.169784652976306;0.7650929750019363;399860.5063125518;618963.5335775395;239.73447945196196;225.49434457592932;413123.06777443225;612208.9926759357
forestFires;CART;(1, 'denseweight', False, 'extreme');SVM;{'kernel': 'rbf', 'C': 10, 'epsilon': 0.01};4141.996593097472;5779.659979867365;51.892529535206975;40.12704784023343;18.94935149330597;5.571975041583998;-0.4135676763219962;0.7385645599618915;60179.89564647376;68660.37907169387;204.17056047201768;146.88995040568727;120.53471992041204;65.18699479632753;-1.0449240489619551;0.6788131057586189;394718.8162771389;613274.0514867567;237.5325263365934;225.48235614984435;410633.708265477;605107.5688332819
forestFires;CART;(1, 'denseweight', False, 'extreme');SVM;{'kernel': 'rbf', 'C': 10, 'epsilon': 0.1};4104.933018207079;5744.009383914701;51.62984017613568;39.9901740930578;18.83059242736192;5.470649328037134;-0.37123585920714774;0.6159842413256124;59552.4075654586;68141.50512027761;202.86832421405097;146.5025336369586;119.27466441632363;64.98195833828302;-1.0056328351330175;0.6657337940719056;390997.1895152055;608832.5506060198;236.2585633347028;224.77047119771328;407176.3477293545;600493.0395152572
forestFires;CART;(1, 'denseweight', False, 'extreme');SVM;{'kernel': 'rbf', 'C': 100, 'epsilon': 0.01};4343.938539495537;5625.624647975453;55.346032448779646;37.72348563596493;22.19086472880835;4.783627590478137;-1.1923313638015496;2.3320513176903117;59178.329141424;67409.67932679105;202.76156252736857;145.17951262729196;118.1978487486087;64.81828015349465;-1.056387062476056;0.7268577154384973;388265.05678020895;603082.6294647496;235.914777498772;222.95340038452224;409300.90653689316;592625.5075597508
forestFires;CART;(1, 'denseweight', False, 'extreme');SVM;{'kernel': 'rbf', 'C': 100, 'epsilon': 0.1};4421.518686366838;5694.199336699588;55.84339099285775;38.05017694199845;22.31668115919582;4.67764285216596;-1.334820797756279;2.7953872295996547;60096.834042724404;68703.066378335;203.4797623608435;147.67630280791695;119.63310165976327;65.45541568872902;-1.0146895399962195;0.7118245543061875;394258.8327124131;613671.5435140157;237.40184613625686;225.45396939567067;417771.5338806139;601641.453246083
forestFires;CART;(1, 'denseweight', False, 'extreme');XGB;{'n_estimators': 100, 'max_depth': 3};6163.389661533767;4965.324474233823;73.13707894641267;30.080583340974243;31.182533118909426;4.462896187039164;-5.927405961481156;8.263091937499649;61030.340359278394;68290.39040397851;208.0446940832297;143.89476441810768;123.60122059486226;59.40392248107024;-1.2837585256167263;0.8878536029584736;400158.6076574499;613768.9493975964;243.31045953396975;220.99855384486492;461051.1073192537;578477.8438537257
forestFires;CART;(1, 'denseweight', False, 'extreme');XGB;{'n_estimators': 100, 'max_depth': 6};6465.109860617395;5476.609692288255;73.2410685171434;34.97389094555632;28.552270319226075;6.458707306914158;-9.632550649882168;22.132266101324372;60421.16926060933;66910.20409008366;207.22681350688876;142.7979453462907;121.50744196567383;60.120918594017326;-1.3029769275280745;1.3055253793020845;394641.3746250359;604184.6371944406;239.9637780554032;220.49982307959047;442032.816576788;578713.6141754772
forestFires;CART;(1, 'denseweight', False, 'extreme');XGB;{'n_estimators': 200, 'max_depth': 3};6556.13779024822;4554.160121296646;77.01747885853067;26.340626427293298;33.39714982975424;4.172481906586821;-8.537967764939978;14.164320898664805;59340.48829514086;64346.40902408078;208.8176065856384;135.49284625943963;121.58858185214828;58.26287928349402;-1.8166528791625611;2.1655340982315745;390742.9713552233;585332.2694556242;241.1723580664405;212.7033014249433;442169.3240487989;556117.9412893138
forestFires;CART;(1, 'denseweight', False, 'extreme');XGB;{'n_estimators': 200, 'max_depth': 6};5978.922034772426;5402.709659407244;70.46818618880145;33.551896287407224;26.664187736883967;4.250867575203622;-4.069558629120591;4.935725034959849;60121.47162008924;69546.27681737572;202.38352627014214;149.51959704436928;115.74766059242016;64.9543339659591;-0.8996279053804683;0.6408904874211973;394904.6708853026;621847.2419988235;237.41219583976857;226.88214207743383;432831.7335868661;602316.4675564413
forestFires;CART;(1, 'denseweight', True, 'balance');RF;{'n_estimators': 100, 'max_features': 'log2'};4731.839109670805;5613.382411242879;59.924696076184354;35.60383733762635;24.955925585770245;5.18655233030732;-2.1803542168873267;3.537446387652809;58464.19429733181;67248.99367329903;200.03954626543586;146.7075433136463;113.13528480512615;63.5595367633911;-0.9004235765347355;0.6245493399680706;383380.6011391032;602552.8525232845;233.8188724844527;223.51607289208502;409759.38581868913;590181.6970546887
forestFires;CART;(1, 'denseweight', True, 'balance');RF;{'n_estimators': 100, 'max_features': 'sqrt'};4615.998327217728;5476.956233637274;59.145147882587864;35.24280555682473;24.388610853512265;3.9828358102780763;-1.9017627796338208;2.8867663802058474;58890.83552995567;67142.69472628369;201.949964111311;145.34403592727332;115.59266976339111;63.12524160357813;-0.9845895808768829;0.641621581535537;386230.1342851743;601457.5340942598;235.2901198264821;222.8621996040588;408712.7451863679;589752.9154721408
forestFires;CART;(1, 'denseweight', True, 'balance');RF;{'n_estimators': 200, 'max_features': 'log2'};4672.451728140046;5535.959304619035;59.53043355202827;35.41153624405458;24.41135552553161;4.083849430216256;-1.7380015900244268;2.243288950744388;59016.378238692065;67527.34969452312;201.5070073323511;146.56007280438692;115.08239022129648;64.22916722709503;-0.941085471423961;0.6182690237390097;386926.9264614441;604360.9405324563;235.46192443581953;223.42987203681432;412403.99955235946;590607.5048613804
forestFires;CART;(1, 'denseweight', True, 'balance');RF;{'n_estimators': 200, 'max_features': 'sqrt'};4615.903479176153;5568.3179877007315;58.935781601476535;35.62890721184467;24.58262567555586;3.7990646041416074;-1.9888620000589305;3.3820333149203847;58940.88897691853;67834.44634607914;200.72647809842687;147.50615228403305;113.68869742508218;64.4144020085968;-0.8926157417181555;0.6086682449755981;386327.9910692024;606462.2790299673;234.61855792973762;224.73867277045127;408921.99702279567;594806.566708648
forestFires;CART;(1, 'denseweight', True, 'balance');SVM;{'kernel': 'rbf', 'C': 1, 'epsilon': 0.01};4095.18328454028;5949.712057741124;49.81852487661824;42.33855431922868;14.200423060472835;6.364605545951878;-0.03919737378913814;0.03358882950341611;62165.177972511374;69533.44875186637;209.89166946541445;145.35855406014008;127.31194503686243;62.80125218862808;-1.3087327218059033;0.8845102605858577;407485.2559340773;624832.7782711769;242.77062695687752;225.43535704654894;422061.2272324292;617381.0637669878
forestFires;CART;(1, 'denseweight', True, 'balance');SVM;{'kernel': 'rbf', 'C': 1, 'epsilon': 0.1};4097.558394905873;5949.305201442873;49.84180197510762;42.339280038754005;14.092732431604299;6.396841686398263;-0.040011277264062284;0.030490634960819676;62258.96586722468;69531.67635710149;210.1441901806674;145.30926582279216;127.49977498496332;62.614957599620986;-1.3140832596700363;0.8834569824496664;407905.56676678255;624748.5164558875;243.01358366079688;225.39765656213265;422512.9229514091;617210.6471734996
forestFires;CART;(1, 'denseweight', True, 'balance');SVM;{'kernel': 'rbf', 'C': 10, 'epsilon': 0.01};4148.036621742428;5925.066593131513;50.997349609662045;41.46359788393148;16.410968598373604;5.815102399491487;-0.20474273588944403;0.31665040362929797;61683.46832453677;69867.78834072158;207.1110363738016;148.0537112880245;124.33875403041114;65.10721993346642;-1.1487950351209855;0.8391995474244248;404828.820745892;625712.5001667609;240.811199818781;227.09107685774273;419955.34083175845;617947.4832203378
forestFires;CART;(1, 'denseweight', True, 'balance');SVM;{'kernel': 'rbf', 'C': 10, 'epsilon': 0.1};4154.426161010582;5924.235249521507;51.110032439345396;41.39499090818229;16.571761178400553;6.0206513204013;-0.22458238094425073;0.3450012014908318;61986.10884279759;69566.95898228274;209.05408552232794;146.0465035439886;126.03069281143767;63.54690008960805;-1.262109781969156;0.8671767374218773;406287.775781226;624344.7464990178;242.1175777382584;225.79871228169844;421616.2318863295;616467.7171981432
forestFires;CART;(1, 'denseweight', True, 'balance');SVM;{'kernel': 'rbf', 'C': 100, 'epsilon': 0.01};4255.738679513843;5861.452302718835;53.094191212355476;39.954773585193614;19.676628072860133;4.993241088305689;-0.47417852272279476;0.5207179174763434;60863.06577700809;70099.76525255464;204.21239932387758;149.51172316118047;120.87566845712165;66.18424048331404;-0.9864629181724756;0.6138994505541463;399391.84397747775;623893.5118168807;238.6477877371039;228.05080273750832;416744.74156597164;615094.9111625847
forestFires;CART;(1, 'denseweight', True, 'balance');SVM;{'kernel': 'rbf', 'C': 100, 'epsilon': 0.1};4295.057060089173;5815.775067988836;53.85227014566385;39.36989910871862;20.105077145885662;5.52530474607308;-0.6055658232232591;0.7492592154483185;60912.43470591523;69372.66950800832;205.79889986278548;147.14773338852183;122.76249856553548;64.51720585469799;-1.1173288648020905;0.7503906927298902;399281.6964720449;620839.6462181176;239.41680160167658;225.9767493683932;417255.8835949474;611782.1415950088
forestFires;CART;(1, 'denseweight', True, 'balance');XGB;{'n_estimators': 100, 'max_depth': 3};5755.399325513672;5208.97176899604;68.78922771522105;33.721761451573364;26.81131770609486;6.496638276873189;-4.480436226902609;6.4777840945046;59456.18197160884;67485.70613538165;202.63012614694986;146.50398040381032;120.35109400081444;64.31230166096626;-0.949925961307214;0.7655711874405987;389507.4720063082;603253.466365511;236.2905376983185;223.53820403613767;435314.53560075175;579255.6155346114
forestFires;CART;(1, 'denseweight', True, 'balance');XGB;{'n_estimators': 100, 'max_depth': 6};5270.220081883579;5565.537794043068;64.0720729100771;35.97822728770746;23.024652619054365;5.146654377014038;-3.0392724515430225;6.2908967181786695;60666.45219404825;68466.07176699144;206.1288471746465;145.62592139651073;120.57916620501912;62.769406820343676;-1.1350757221995111;0.7469990259046131;397448.56100938097;611480.2344619718;239.77920355199709;224.01731665114042;442858.11557939125;587196.7749503296
