Dataset;Strategy;Parameter Combination;Model;Model Parameter Combination;MSE_mean;MSE_std;RMSE_mean;RMSE_std;MAE_mean;MAE_std;R2_mean;R2_std;WMSE_mean;WMSE_std;WRMSE_mean;WRMSE_std;WMAE_mean;WMAE_std;WR2_mean;WR2_std;SERA_mean;SERA_std;DWRMSE_mean;DWRMSE_std;DWSERA_mean;DWSERA_std
mortgage;CART;(1, 'denseweight', False, 'balance');RF;{'n_estimators': 100, 'max_features': 'log2'};0.025345378555852182;0.010806824651658995;0.156356914429217;0.0315857539270596;0.09045713263378499;0.013161521217534371;0.9973704555834007;0.001021411932789409;0.005728353939040764;0.0025967212071368187;0.07391577049165636;0.017260197366303232;0.04995299435598466;0.008743712414352189;0.9925071540309379;0.0031410382284300575;0.298244497070575;0.15864542936518364;0.21325380904492397;0.04405226241998761;4.638207672326083;2.21175605756725
mortgage;CART;(1, 'denseweight', False, 'balance');RF;{'n_estimators': 100, 'max_features': 'sqrt'};0.02526333368476299;0.007963136065146202;0.15709376721659798;0.025492525842779837;0.08971914360069738;0.009195854284706961;0.9973862314022703;0.0007149214780790442;0.005653097525302865;0.0027759215427880036;0.0734265149563006;0.017156630788398054;0.05016556272060988;0.008817368302550772;0.9925884141930168;0.0032917364987072742;0.2914906792471724;0.14583583916862736;0.2173078975816713;0.039739132855997915;4.670117950958136;1.7862924034703127
mortgage;CART;(1, 'denseweight', False, 'balance');RF;{'n_estimators': 200, 'max_features': 'log2'};0.02393889114237665;0.006682238539593006;0.15339487995917792;0.021315147057799237;0.08774454664245593;0.009170616317039892;0.9975075624377971;0.0006182401868242083;0.004747642057976928;0.001730446609079385;0.06792317169821108;0.012281913734687231;0.04745016582256009;0.008336144789254377;0.9937509626623672;0.00203698568660065;0.2485886530830037;0.10157165734237143;0.21716576452444347;0.03127691540852997;4.512769784786335;1.4809725269549179
mortgage;CART;(1, 'denseweight', False, 'balance');RF;{'n_estimators': 200, 'max_features': 'sqrt'};0.024705414347429493;0.008755025754877703;0.1549550071706743;0.027776090840980636;0.08819708554717616;0.012038921204154424;0.9974313609090446;0.0008380462011879019;0.005230659151865948;0.0017325895893925117;0.0714022418344102;0.012203540039559974;0.04767105587855794;0.007043708283826929;0.9931418468549982;0.0020657430556458405;0.273076385517183;0.11415789834665734;0.2161647848894617;0.046730066958263816;4.594524059661731;1.9372427781923394
mortgage;CART;(1, 'denseweight', False, 'balance');SVM;{'kernel': 'rbf', 'C': 1, 'epsilon': 0.01};0.028132552550262414;0.005619689345217271;0.16696001215097095;0.016895327848913805;0.09965193827377451;0.006483034455268662;0.9970735326290333;0.0004678260234945609;0.005453483658442567;0.0013003244157486842;0.0734102370711425;0.008513127835958792;0.05633238491494455;0.006264157821654965;0.9927303227339278;0.001973806185940324;0.2910951356086265;0.11457910149597156;0.2490408454602942;0.03346041462312905;5.405112694627987;1.2827517651618163
mortgage;CART;(1, 'denseweight', False, 'balance');SVM;{'kernel': 'rbf', 'C': 1, 'epsilon': 0.1};0.028998193791065156;0.008156270242755245;0.1688067449101951;0.023628529457451367;0.10940537241294565;0.008912575537393446;0.9970075417867321;0.0006335068200089209;0.007587206040230118;0.0019913692364886115;0.08647193229196319;0.01111473511446778;0.06761754229146207;0.007235938341638812;0.9899898447323974;0.002216771575711595;0.391060630889858;0.1444486407394117;0.23975562335140577;0.04373931596892573;5.348419692504583;1.8854838509017355
mortgage;CART;(1, 'denseweight', False, 'balance');SVM;{'kernel': 'rbf', 'C': 10, 'epsilon': 0.01};0.013500456162733456;0.004069795864652106;0.11492797371445125;0.01801286640845183;0.07200747912671865;0.00819086998809219;0.9985879647712874;0.00042544900924732995;0.002918503202066776;0.0007787080061315925;0.05363886887957573;0.006822522686643463;0.04128392207145434;0.005545483171304168;0.9961348459591526;0.0009228544613783201;0.15358990491998664;0.058201138980558925;0.15841196833533744;0.029159681973042126;2.536125138833007;0.8851717534251381
mortgage;CART;(1, 'denseweight', False, 'balance');SVM;{'kernel': 'rbf', 'C': 10, 'epsilon': 0.1};0.01669056006693203;0.00480078993696221;0.12810318888654584;0.0176425326989443;0.0856189821364175;0.004477735387385307;0.9982355213733257;0.0005661331138315691;0.006363172206525428;0.0014822927375883533;0.07932546317826711;0.008914790257693556;0.06175263800930624;0.004245985615372862;0.9916281095946096;0.0015442198781046765;0.32126118904310935;0.12531949972235806;0.17766332244995098;0.031297681427227435;2.93110190781709;1.0185785279424513
mortgage;CART;(1, 'denseweight', False, 'balance');SVM;{'kernel': 'rbf', 'C': 100, 'epsilon': 0.01};0.014337656914522826;0.0059997603506051185;0.11746295573574825;0.02449741356743311;0.06858781621859186;0.007622911769443558;0.9985047858768901;0.0006115620792595929;0.0029606827058268033;0.0010331856492089245;0.05376776942506345;0.008855697967411563;0.04094466634917472;0.007328171952393676;0.9961080591677983;0.0011492276560071742;0.15460540082106797;0.06145198445159259;0.16779966107215716;0.04318191180969955;2.7408905518286395;1.2716153557416725
mortgage;CART;(1, 'denseweight', False, 'balance');SVM;{'kernel': 'rbf', 'C': 100, 'epsilon': 0.1};0.01766674181831171;0.005973280459851856;0.13130511205119338;0.021748802458354123;0.08408121715618867;0.007491803668612775;0.9981530940073661;0.0005963256787580409;0.005765611208624514;0.0021097959430519428;0.07494500630058772;0.012940803457786282;0.05839852597893131;0.00843224912773549;0.9925190919508599;0.0020737056405509156;0.2912031972510511;0.12886670743272838;0.18106164874625794;0.03622301915703712;3.225721788333592;1.2652512255773578
mortgage;CART;(1, 'denseweight', False, 'balance');XGB;{'n_estimators': 100, 'max_depth': 3};0.048554374406672554;0.007171102151224988;0.21980671900463206;0.016308848555693107;0.155113232662021;0.007405186425039195;0.9949025734315555;0.0008474043545607638;0.02107604967474644;0.0057080316161596785;0.14415055122959955;0.01826887480984154;0.10202041500845171;0.005122038276614724;0.9715268767361631;0.010232430793825147;1.067005868184046;0.48475795839210767;0.27448565198081964;0.02657788332681165;8.141089912454502;1.637038543580404
mortgage;CART;(1, 'denseweight', False, 'balance');XGB;{'n_estimators': 100, 'max_depth': 6};0.03436872721740723;0.009147798366948666;0.18399160573435974;0.0239401159539371;0.1138916863981209;0.01149780294606361;0.9964471592922811;0.0007440594472311273;0.011309300087839745;0.0052286021628829595;0.10413150974970746;0.0228947561839413;0.0671503531039672;0.00898884420134987;0.9847718345929647;0.007817510142285468;0.5848798777955245;0.3498117488892883;0.24848970944735585;0.0531276708338408;6.049406073446913;2.02122835989836
mortgage;CART;(1, 'denseweight', False, 'balance');XGB;{'n_estimators': 200, 'max_depth': 3};0.04532566709496028;0.012562842725179916;0.2110906631935742;0.029181405941632405;0.1411933194525939;0.015329851085826334;0.9953206971199016;0.0010153019795806628;0.015575869510214403;0.004350823269743072;0.12368085276305069;0.0177138559120072;0.08875894642124423;0.011789583297030407;0.9791671970628933;0.00621609196343867;0.8081284158858552;0.37973955079528066;0.2733339334708843;0.05808668441996575;7.726176543694862;2.6190396403623315
mortgage;CART;(1, 'denseweight', False, 'balance');XGB;{'n_estimators': 200, 'max_depth': 6};0.03500255873475904;0.011965029487082038;0.18508261416078323;0.02880942496571589;0.1130755549240069;0.011997293578314642;0.996348672121129;0.001171282243035569;0.011996392601016691;0.004560081451192191;0.10774334210565233;0.02088624995149175;0.0706178967483575;0.009284780593968976;0.9843149121040271;0.005066119298900541;0.6073107322785338;0.28790821089340807;0.2478537442686366;0.046161598901539765;6.142406314971468;2.391735263577738
mortgage;CART;(1, 'denseweight', False, 'extreme');RF;{'n_estimators': 100, 'max_features': 'log2'};0.026056825950206603;0.009456917673330489;0.15920618671323697;0.028091439234450285;0.09074419146744948;0.009229772720546273;0.9972917061937732;0.0009034669258854239;0.0049909593142365835;0.0018550284571210896;0.06961263718020021;0.012773803914112343;0.04845175768203321;0.007024160733624523;0.9933727443010947;0.002522161817995069;0.26337535622749797;0.11168931807778609;0.22440263558150486;0.0458821496660066;4.926754083120784;2.0816907319649958
