Dataset;Strategy;Parameter Combination;Model;Model Parameter Combination;MSE_mean;MSE_std;RMSE_mean;RMSE_std;MAE_mean;MAE_std;R2_mean;R2_std;WMSE_mean;WMSE_std;WRMSE_mean;WRMSE_std;WMAE_mean;WMAE_std;WR2_mean;WR2_std;SERA_mean;SERA_std;DWRMSE_mean;DWRMSE_std;DWSERA_mean;DWSERA_std
treasury;CART;(1, 'denseweight', False, 'balance');RF;{'n_estimators': 100, 'max_features': 'log2'};0.04919984763283094;0.016125448958095822;0.21855041820127216;0.03993831823199356;0.11800512171066793;0.016506533110336653;0.9956613424056029;0.0013839796657866882;0.0482956046493346;0.06621693588550494;0.18055620597027688;0.13205664245548218;0.10925882524073613;0.08025341381111654;0.9888834231699013;0.005425983020045785;2.6270718186616726;3.386965828078529;0.3125398210907263;0.08256987607981761;8.536048085450803;3.232358025623058
treasury;CART;(1, 'denseweight', False, 'balance');RF;{'n_estimators': 100, 'max_features': 'sqrt'};0.04922959416371673;0.017979984534844166;0.21805282896055522;0.043237817115416556;0.11912318962723482;0.016523362083894457;0.99562379962156;0.0016926768854842744;0.04817760447346868;0.06460444355076572;0.181596094749237;0.12995923653761085;0.10885643762213544;0.07845828957209254;0.9886413919235404;0.005403975679449006;2.683055587169739;3.555054918721083;0.3121933474118572;0.08912711224551853;8.601705371987267;3.798061585401144
treasury;CART;(1, 'denseweight', False, 'balance');RF;{'n_estimators': 200, 'max_features': 'log2'};0.047714298659145296;0.01787439291358969;0.21469205435562952;0.042447620738253034;0.11566498830223951;0.014447180523663545;0.9957572078041823;0.0016010494206165043;0.046268858103165604;0.06235481259730234;0.18090779331654666;0.12266136048534072;0.10544357711076383;0.07091077784423286;0.9874961433903202;0.007621359758691665;2.5392912686052322;3.214943044865396;0.30068197024679794;0.09258726944458286;8.197113906364477;3.8813497609300653
treasury;CART;(1, 'denseweight', False, 'balance');RF;{'n_estimators': 200, 'max_features': 'sqrt'};0.05012613999680504;0.01601963367021833;0.22097075860586385;0.03797753484999142;0.11733262587519633;0.016000107635574388;0.9955626089011392;0.0014454802100389366;0.045272782301812586;0.058647804854988037;0.17683397924013752;0.1247331644748153;0.10353650556228877;0.07458227320150142;0.9885703235934595;0.007760792821442924;2.5211021293467324;3.202491910277358;0.3145760705123162;0.0812523622989065;8.629986229293097;3.415550872182349
treasury;CART;(1, 'denseweight', False, 'balance');SVM;{'kernel': 'rbf', 'C': 1, 'epsilon': 0.01};0.07599692084667667;0.032424874813885333;0.2699010851309072;0.05916385056054499;0.15503823636202213;0.02034788586260956;0.9933113022212897;0.002592316852221176;0.09501104320883311;0.1355477980655979;0.24794561019007685;0.19302854594968175;0.1566887464937665;0.11735223535197438;0.9800228004447142;0.009337103111681516;4.999209326117611;6.5344679053468955;0.38746622074997344;0.1124903747911051;13.16553548363321;5.746490699376596
treasury;CART;(1, 'denseweight', False, 'balance');SVM;{'kernel': 'rbf', 'C': 1, 'epsilon': 0.1};0.07387678760872389;0.022938771957058096;0.26868551151594755;0.04326768758602312;0.1607334320958942;0.015268768146290766;0.9934521426630859;0.001954740460503937;0.0849498165765472;0.10772103966331406;0.2432767821423369;0.16920147046582318;0.15841476198753174;0.09862709213517949;0.9795142932625233;0.008768291715291362;4.551547651120183;5.373457669544344;0.3847823873334651;0.07977913597868257;12.676199611341577;3.8994469212312177
treasury;CART;(1, 'denseweight', False, 'balance');SVM;{'kernel': 'rbf', 'C': 10, 'epsilon': 0.01};0.051285422709912674;0.01769055905599791;0.22293546312491794;0.04196826831986062;0.12828469463141773;0.01747276585571869;0.9954417703621796;0.0016565826087816089;0.049067485640482356;0.06407996763327668;0.18786329632567758;0.12371502888193861;0.1158596596400896;0.07355244969733259;0.9862109527763948;0.007685521903278696;2.6088193931104735;3.052704096826211;0.29184856060586295;0.06882719611930538;8.236046501012106;2.891647618639605
treasury;CART;(1, 'denseweight', False, 'balance');SVM;{'kernel': 'rbf', 'C': 10, 'epsilon': 0.1};0.05559063137864835;0.018010735665775865;0.23234265678098592;0.0422626867027501;0.1405975131990712;0.017046265095351357;0.9950623021348941;0.0017260991054460417;0.053068600861049794;0.06491806221980027;0.19966803258013036;0.12111187494135699;0.13235771584891198;0.07510954818469724;0.984119555552548;0.00776915258521128;2.8671752218901005;3.1888581132894998;0.3048443699081695;0.0730897609113966;9.00871284271277;3.2764590034027554
treasury;CART;(1, 'denseweight', False, 'balance');SVM;{'kernel': 'rbf', 'C': 100, 'epsilon': 0.01};0.04692726875683949;0.01541239404200995;0.21385186979788012;0.03643329583392414;0.12453551408558068;0.016053677064393007;0.9958279850995954;0.0014589737625935978;0.04046076969845654;0.05661830075619755;0.17114190557006836;0.11141123949036913;0.1105318950183665;0.07209388277968254;0.9876772991675249;0.007393359191014344;2.1434967507657126;2.644390292956018;0.26886313953469365;0.058507180712395725;7.266580629599339;2.301664956765359
treasury;CART;(1, 'denseweight', False, 'balance');SVM;{'kernel': 'rbf', 'C': 100, 'epsilon': 0.1};0.057047546776751876;0.01713662096758322;0.236054213505171;0.03838337405131767;0.13954964036673273;0.01617821149519889;0.9949257834901294;0.001670198021383889;0.045883508421541944;0.05503120763477559;0.18370347309375518;0.11612513554511358;0.12294864714432666;0.0741325045191217;0.9868543546848508;0.007557756949549819;2.537485915816098;2.9120495035350795;0.30976575963462716;0.06320259682676037;9.281513588218981;3.1201682187183115
